Nachname|Vorname|Geburtsdatum|Erzieherart|Anrede 1.Person|Titel 1.Person|Nachname 1.Person|Vorname 1.Person|Anrede 2.Person|Titel 2.Person|Nachname 2.Person|Vorname 2.Person|Straße|PLZ|Ort|Ortsteil|E-Mail 1. Person|Anschreiben|E-Mail 2. Person
Bartelsen|Torsten|17.12.2004|Eltern|Frau||Bartelsen|Tatjana|Herr|Dr.|Bartelsen|Oliver|Deichstraße 477|42899|Remscheid||Bartelsen@email.de|J|
Basch|Doreen|24.06.2009|Eltern|Frau||Basch|Rabia|Herr||Basch|Kamil|Ahornstraße 366|51427|Bergisch Gladbach||Basch@email.de|J|kamilkaragoz1985@gmail.com
Bauer|Ulrich|25.12.2003|Mutter|Frau||Bauer|Tonya|||||Pflanzgartenplatz 133|42899|Remscheid||Bauer@email.de|J|
Bauer|Ulrich|25.12.2003|Vater|Herr||Bauer|Carsten|||||Pflanzgartenplatz 133|42899|Remscheid||Bauer@email.de|J|
Baumbach|Jan|29.05.2009|Eltern|Frau||Baumbach|Birsen|Herr||Baumbach|Ihlan|Rotkäppchenstraße 31|59558|Lippstadt||Baumbach@email.de|J|
Baumeister|Ulrike|20.06.2009|Eltern|Frau||Baumeister|Zeliha|Herr||Baumeister|Muhammet|Spreegäßlein 18|53819|Neunkirchen-Seelscheid||Baumeister@email.de|J|erkol24@qmx.de
Beckenhennings|Anne|13.04.2003|Schülerin ist volljährig|Frau||Beckenhennings|Anne|||||Kleine Museumstraße 223|53121|Bonn|||J|
Beckenhennings|Anne|13.04.2003|Mutter|Frau||Beckenhennings|Wioletta|||||Kleine Museumstraße 223|53121|Bonn||Beckenhennings@email.de|J|
Beckmann|Sandra|16.04.2004|Eltern|Frau||Beckmann|Maria Jane|Herr||Beckmann|Bernd|Bergstraße 65|50678|Köln||Beckmann@email.de|J|
Behrendt|Martina|27.10.2009|Eltern|Frau||Behrendt|Sandra|Herr||Behrendt|Michael|Fontanestraße 408|50935|Köln||Behrendt@email.de|J|
Benfer|Juliane|07.06.2011|Eltern|Frau||Benfer|Melanie|Herr||Benfer|Michael|Spindlersfelder Straße 158|48361|Beelen||Benfer@email.de|J|m.skreczek@sv-pfeiffer.com
Berg|Laura|03.11.2007|Eltern|Frau||Berg|Esther|Herr||Berg|Tamas|Neue Kommandantenstraße 255|44269|Dortmund||Berg@email.de|J|
Berg|Jennifer|20.03.2008|Eltern|Frau||Berg|Anastasia|Herr||Berg|Antonios|Moltkestraße 328|44629|Herne||Berg@email.de|J|
Bergmann|Maria|18.10.2008|Eltern|Frau||Bergmann|Angelika|Herr||Bergmann|Holger|Bolivarallee 232|42653|Solingen||Bergmann@email.de|J|
Bernet|Kathrin, Katrin|17.06.2009|Eltern|Frau||Bernet|Julia|Herr||Bernet|Andreas|Splittgerbergasse 173|52428|Jülich||Bernet@email.de|J|
Bertmaring|Eric|18.06.2004|Eltern|Frau||Bertmaring|Nina|Herr||Bertmaring|Dirk|Frischenstraße 120|50969|Köln||Bertmaring@email.de|J|
Bertmars|Jessica|05.09.2008|Eltern|Frau||Bertmars|Christiane|Herr||Bertmars|Martin|Schmale Straße 38|53945|Blankenheim||Bertmars@email.de|J|
Bethke|Kathrin, Katrin|08.06.2006|Eltern|Frau||Bethke|Sevim|Herr||Bethke|Mehmet|Strandschloßweg 499|32052|Herford||Bethke@email.de|J|
Beyer|Swen|30.06.2010|Eltern|Frau||Beyer|Perihan|Herr||Beyer|Nuri|Schreberplatz 381|33175|Bad Lippspringe||Beyer@email.de|J|
Beyl|René|18.06.2005|Eltern|Frau||Beyl|Enisa|Herr||Beyl|Mithat|Schützengasse 329|40231|Düsseldorf||Beyl@email.de|J|
Bican|Felix|14.03.2010|Eltern|Frau||Bican|Fatis|Herr||Bican|Mustafa|Kapelle-Ufer 260|41516|Grevenbroich||Bican@email.de|J|
Bisson|Michael|24.12.2004|Eltern|Frau||Bisson|Hounayda|Herr||Bisson|Mahmoud Mohamed Ali|Straße am Walle 448|41363|Jüchen||Bisson@email.de|J|
Bisson|Lena|29.06.2008|Eltern|Frau||Bisson|Kristina|Herr||Bisson|Markus|Feldblumenweg 493|40882|Ratingen||Bisson@email.de|J|
Blöser|Sabine|25.03.2010|Eltern|Frau||Blöser|Sarah|Herr||Blöser|Eric|Pflugk-Harttung-Straße 379|52068|Aachen||Blöser@email.de|J|
Blum|Laura|07.09.2004|Eltern|Frau||Blum|Sanja|Herr||Blum|Kristijan|Fehrower Steig 324|53175|Bonn||Blum@email.de|J|
Bödding|Peter|01.10.2006|Vater|Herr||Bödding|Christian|||||Arrheniusweg 233|48231|Warendorf||Bödding@email.de|J|
Bödefeld|Thorsten|04.09.2008|Eltern|Frau||Bödefeld|Diana|Herr||Bödefeld|Ivan|Oberspreestraße 119|46348|Raesfeld||Bödefeld@email.de|J|
Böhmer|Lukas|21.05.2010|Eltern|Frau||Böhmer|Hanife|Herr||Böhmer|Deniz|Bismarckstraße 114|41541|Dormagen||Böhmer@email.de|J|
Bolt|Christian|13.05.2007|Eltern|Frau||Bolt|Daniela|Herr||Bolt|Thomas|Alt-Köpenick 49|45277|Essen||Bolt@email.de|J|t.tauscher@web.de
Both|Erik|17.09.2004|Eltern|Frau||Both|Jana|Herr||Both|Dennis|Am Parkplatz 288|47802|Krefeld||Both@email.de|J|
Böttcher|Dieter|30.06.2006|Eltern|Frau||Böttcher|Silke|Herr||Böttcher|Guido|An der Krummen Lake 278|52249|Eschweiler||Böttcher@email.de|J|
Boy|Markus|31.01.2006|Mutter|Frau||Boy|Verena|||||Bellevuestraße 82|42929|Wermelskirchen||Boy@email.de|J|
Breid|Benjamin|10.03.2010|Eltern|Frau||Breid|Jeanette|Herr||Breid|Rüdiger|Linienstraße 392|59077|Hamm||Breid@email.de|J|ruediger.karpf@gmx.de
Breton|Christin|31.05.2004|Eltern|Frau||Breton|Claudia|Herr||Breton|Jürgen|Schmausstraße 221|40235|Düsseldorf||Breton@email.de|J|
Briel|Susanne|05.10.2005|Eltern|Frau||Briel|Jasminka|Herr||Briel|Daniel|Lindenstraße 108|40217|Düsseldorf||Briel@email.de|J|d.salonski@gmx.de
Brinkmann|Vanessa|24.05.2008|Mutter|Frau||Brinkmann|Sibel|||||Landwehrstraße 376|40789|Monheim||Brinkmann@email.de|J|
Brinkmann|Vanessa|24.05.2008|Vater|Herr||Brinkmann|Ali|||||Landwehrstraße 376|40789|Monheim||Brinkmann@email.de|J|
Bröcking|Anke|20.11.2005|Eltern|Frau||Bröcking|Heike|Herr||Bröcking|Jochen|Am Bahnhof Westend 174|51103|Köln||Bröcking@email.de|J|
Brockmann|Dirk|01.06.2008|Eltern|Frau||Brockmann|Irena|Herr||Brockmann|Pavo|Erknerstraße 456|45359|Essen||Brockmann@email.de|J|
Brockmann|Kristian|03.05.2009|Eltern|Frau||Brockmann|Zeynep|Herr||Brockmann|Kemal|Neue Ackerstraße 489|44799|Bochum||Brockmann@email.de|J|
Brot|Niklas|09.02.2007|Eltern|Frau||Brot|Nicole|Herr||Brot|Gerd|Mahlower Straße 298|33739|Bielefeld||Brot@email.de|J|gerd.laupenmuehlen@web.de
Bruhn|Marco|16.04.2007|Eltern|Frau||Bruhn|Anne|Herr||Bruhn|Jürgen|Eosanderstraße 176|53173|Bonn||Bruhn@email.de|J|Jutta1de@t-online.de
Bruning|Christina|24.04.2005|Eltern|Frau||Bruning|Friederike|Herr||Bruning|Jochen|Kannegießer-Gasse 489|58638|Iserlohn||Bruning@email.de|J|form-at@freenet.de
Brüning|Christin|01.03.2010|Mutter|Frau||Brüning|Ramona|||||Luisenufer 139|48612|Horstmar||Brüning@email.de|J|
Bruschius|Melanie|11.10.2009|Eltern|Frau||Bruschius|Lucia|Herr||Bruschius|Francois Jean-Paul|Apelstraße 115|59510|Lippetal||Bruschius@email.de|J|marechal.f@gmail.com
Buck|Phillipp|10.01.2005|Vater|Herr||Buck|Marcus|||||Myliusgarten 476|48366|Laer||Buck@email.de|J|
Buck|Phillipp|10.01.2005|Mutter|Frau||Buck|Kerstin|||||Myliusgarten 476|48366|Laer||Buck@email.de|J|
Bülcke|Markus|02.05.2007|Eltern|Frau||Bülcke|Hanumsha|Herr||Bülcke|Ilaz|Marktplatz 3|50996|Köln||Bülcke@email.de|J|
Bullerbeck|Christina|29.12.2006|Eltern|Frau||Bullerbeck|Jenny|Herr||Bullerbeck|Norbert|Plehmpfad 290|59069|Hamm||Bullerbeck@email.de|J|norbert.ludemann@gmail.com
Bunnell|Jörg|09.05.2008|Eltern|Frau||Bunnell|Najima|Herr||Bunnell|Abderzhim|Spreegäßlein 61|51688|Wipperfürth||Bunnell@email.de|J|
Burghaus|Ursula|04.06.2006|Eltern|Frau||Burghaus|Sandra|Herr||Burghaus|Peter|Aßmannstraße 67|53117|Bonn||Burghaus@email.de|J|
Burow|Diana|29.10.2006|Eltern|Frau||Burow|Mona|Herr||Burow|Michael|Englische Straße 380|40477|Düsseldorf||Burow@email.de|J|info@fafnirs-erben.de
Burtonshall|Dieter|25.06.2008|Vater|Herr||Burtonshall|Markus|||||Stahnweg 375|45659|Recklinghausen||Burtonshall@email.de|J|
Burtonshall|Dieter|25.06.2008|Mutter|Frau||Burtonshall|Yvonne|||||Stahnweg 375|45659|Recklinghausen||Burtonshall@email.de|J|
Büssing|Manuela|03.09.2004|Eltern|Frau||Büssing|Andrea|Herr||Büssing|André|Ravensteiner Straße 212|46419|Isselburg||Büssing@email.de|J|andre@grimmert.de
Büttner|Kristian|15.05.2008|Eltern|Frau||Büttner|Thomai|Herr||Büttner|Tsompanoudis|Kaiser-Wilhelm-Straße 447|33332|Gütersloh||Büttner@email.de|J|
Chausse|Annett|25.11.2003|Eltern|Frau||Chausse|Sophie|Herr||Chausse|Stefan|Bismarckstraße 313|44339|Dortmund||Chausse@email.de|J|
Clemens|Kevin|11.08.2007|Mutter|Frau||Clemens|Sandra|||||Alter Markt 438|59581|Warstein||Clemens@email.de|J|
Clemens|Kevin|11.08.2007|Vater|Herr||Clemens|Mario|||||Alter Markt 438|59581|Warstein||Clemens@email.de|J|
Colman|Sophie|13.10.2008|Eltern|Frau||Colman|Anja|Herr||Colman|Stephan|Fichtenauer Straße 162|57072|Siegen||Colman@email.de|J|
Cols|Stefanie|07.04.2010|Eltern|Frau||Cols|Dilek|Herr||Cols|Mahmut|Franklinstraße 57|48624|Schöppingen||Cols@email.de|J|mahmutm@web.de
Conney|Andrea|09.01.2009|Eltern|Frau||Conney|Tanja|Herr|Dr. med.|Conney|Jörg|Fehleweg 203|52379|Langerwehe||Conney@email.de|J|Joerg.barkus@t-online.de
Conrads|Benjamin|20.03.2005|Großeltern|Frau||Conrads|Evelin|Herr||Conrads|Bertram|Coubertinplatz 270|51643|Gummersbach||Conrads@email.de|J|bkz-cnc@bkz-cnc.de
Cort|Ines|08.04.2004|Eltern|Frau||Cort|Bushra|Herr||Cort|Abdulrahman|Mathildenstraße 300|57234|Wilnsdorf||Cort@email.de|J|
Creutzer|Anna|04.08.2009|Mutter|Frau||Creutzer|Carina|||||Klosterstraße 198|40468|Düsseldorf||Creutzer@email.de|J|
Creutzer|Anna|04.08.2009|Vater|Herr||Creutzer|Marc Oliver|||||Klosterstraße 198|40468|Düsseldorf||Creutzer@email.de|J|
Crump|Ines|05.01.2005|Eltern|Frau||Crump|Naema|Herr||Crump|Mohammed|Bölschestraße 164|32425|Minden||Crump@email.de|J|
Cruse|Ines|10.03.2005|Eltern|Frau||Cruse|Cidem|Herr||Cruse|Sebahattin|Mühlweg 207|58453|Witten||Cruse@email.de|J|
Dalcke|Torsten|19.10.2005|Eltern|Frau||Dalcke|Elif|Herr||Dalcke|Kadir|Liebknechtplatz 377|40670|Meerbusch||Dalcke@email.de|J|neden1@gmx.de
Danielsen|Anja|22.11.2006|Eltern|Frau||Danielsen|Natascha|Herr||Danielsen|Salvatore|Feldstraße 497|52353|Düren||Danielsen@email.de|J|
Darick|Christin|14.02.2004|Eltern|Frau||Darick|Dominga-Gina|||||Feldstraße 462|59069|Hamm||Darick@email.de|J|
Darick|Christin|14.02.2004|Vater|Herr||Darick|Fritz-Georg|||||Feldstraße 462|59069|Hamm||Darick@email.de|J|
Daum|Matthias|27.11.2003|Eltern|Frau||Daum|Sema|Herr||Daum|Kutsal|Neue Kommandantenstraße 269|53909|Zülpich||Daum@email.de|J|
de Peyrelongue|Ralf|14.02.2004|Eltern|Frau||de Peyrelongue|Margarita|Herr||de Peyrelongue|Miroslav|Schadowstraße 330|42857|Remscheid||de Peyrelongue@email.de|J|
de Peyrelongue|Stefanie|02.03.2010|Eltern|Frau||de Peyrelongue|Mehtap|Herr||de Peyrelongue|Cem|Brauhofstraße 439|59558|Lippstadt||de Peyrelongue@email.de|J|cem-3@live.de
Decker|Martin|10.04.2009|Eltern|Frau||Decker|Nadja Elke|Herr||Decker|Rainer Horst|Beethovenstraße 268|51643|Gummersbach||Decker@email.de|J|
Deipenbrock|Katja|23.12.2005|Eltern|Frau||Deipenbrock|Halima|Herr||Deipenbrock|Sidi Abdelouahab|Eichenallee 345|53113|Bonn||Deipenbrock@email.de|J|
Deuter|Leon|01.11.2002|Schüler ist volljährig|Herr||Deuter|Leon|||||Charlottenstraße 260|40885|Ratingen|||J|
Deuter|Leon|01.11.2002|Mutter|Frau||Deuter|Bettina|||||Charlottenstraße 260|40885|Ratingen||Deuter@email.de|J|
Deuter|Leon|01.11.2002|Vater|Herr||Deuter|Marco|||||Charlottenstraße 260|40885|Ratingen||Deuter@email.de|J|
Didrichs|Petra|28.06.2005|Eltern|Frau||Didrichs|Heike|Herr||Didrichs|Matthias|Alter Markt 184|42285|Wuppertal||Didrichs@email.de|J|mkreutzenbeck@t-online.de
Dieders|Philipp|22.07.2010|Eltern|Frau||Dieders|Silvia|Herr||Dieders|Frank|Allee nach Berlin 94|42579|Heiligenhaus||Dieders@email.de|J|
Diele|Diana|23.03.2006|Eltern|Frau||Diele|Sabine|Herr||Diele|Marco|Kleine Rosenthaler Straße 289|58769|Nachrodt-Wiblingwerde||Diele@email.de|J|
Dodson|Stefanie|21.11.2007|Eltern|Frau||Dodson|Carola|Herr||Dodson|Jens|Alt-Köpenick 149|44627|Herne||Dodson@email.de|J|j.hoerentrup@freenet.de
Domdrowski|Maria|29.05.2008|Eltern|Frau||Domdrowski|Dr. med. Renate Tinca|Herr||Domdrowski| Nils|Mittelheide 333|45772|Marl||Domdrowski@email.de|J|n.wormland@stb-wormland.de
Dörner|Alexander|03.08.2004|Mutter|Frau||Dörner|Sabine|||||Kleine Hamburger Straße 14|58730|Fröndenberg||Dörner@email.de|J|
Dortmann|Sabrina|03.05.2005|Eltern|Frau||Dortmann|Claudia|Herr||Dortmann|Rainer|Erlenstraße 321|42279|Wuppertal||Dortmann@email.de|J|
Drewes|Andreas|06.01.2010|Eltern|Frau||Drewes|Sevim|Herr||Drewes|Veysel|Dresselstraße 166|58455|Witten||Drewes@email.de|J|
Drypollak|Lukas|09.10.2007|Eltern|Frau||Drypollak|Babette|Herr||Drypollak|Achim|Eichenstraße 219|53773|Hennef||Drypollak@email.de|J|achim-welzel@web.de
Düsterbeck|Kristin|16.02.2004|Eltern|Frau||Düsterbeck|Teuta|Herr||Düsterbeck|Agim|Bellevuestraße 360|41466|Neuss||Düsterbeck@email.de|J|
Düsterbeck|Thorsten|24.05.2008|Eltern|Frau||Düsterbeck|Gülseren|Herr||Düsterbeck|Siyami|Forststraße 172|52355|Düren||Düsterbeck@email.de|J|
Eckbrett|Sara|19.08.2009|Mutter|Frau||Eckbrett|Heike|||||Am Schillertheater 491|53173|Bonn||Eckbrett@email.de|J|
Edden|Nadine|22.03.2009|Eltern|Frau||Edden|Marion|Herr||Edden|Torsten|Ahéstraße 100|47652|Weeze||Edden@email.de|J|torsten.baack@commerzbank.com
Eiden|Nadine|16.12.2005|Eltern|Frau||Eiden|Kirsten|Herr|Dr.|Eiden|Michael|Oettingstraße 198|52070|Aachen||Eiden@email.de|J|michaelbaden@gmx.de
Eigener|Antje|12.06.2009|Eltern|Frau||Eigener|Christina|Herr||Eigener|Stefanos|Am Wuhlebach 331|52068|Aachen||Eigener@email.de|J|info@pixeleyes.de
Eilers|Andrea|14.09.2006|Mutter|Frau||Eilers|Yvonne|||||Möllhausenufer 280|34414|Warburg||Eilers@email.de|J|
Eilers|Andrea|14.09.2006|Vater|Herr||Eilers|George|||||Möllhausenufer 280|34414|Warburg||Eilers@email.de|J|
Else|Christin|09.06.2008|Eltern|Frau||Else|Caterina|Herr||Else|Princiotto|Neue Kommandantenstraße 483|47807|Krefeld||Else@email.de|J|
Eschholtz|Torsten|21.09.2004|Eltern|Frau||Eschholtz|Barbara|Herr||Eschholtz|Giovanni|Parksteig 470|51375|Leverkusen||Eschholtz@email.de|J|
Esselborn|Christine|04.08.2010|Eltern|Frau||Esselborn|Angela|Herr||Esselborn|Oliver|Mathildenstraße 136|52499|Baesweiler||Esselborn@email.de|J|
Eylers|Katharina|21.06.2006|Eltern|Frau||Eylers|Olga|Herr||Eylers|Olaf|Möllhausenufer 162|58638|Iserlohn||Eylers@email.de|J|omoelders@yahoo.de
Eylers|Gabriele|02.05.2010|Eltern|Frau||Eylers|Tanja|Herr||Eylers|Ekkehard|Spreestraße 202|34434|Borgentreich||Eylers@email.de|J|viefhaus@mac.com
Fahnemann|Ralph|16.05.2006|Eltern|Frau||Fahnemann|Karin|Herr||Fahnemann|Peter|Eichbergstraße 102|58135|Hagen||Fahnemann@email.de|J|peter.cours@velbert.de
Felbert|Matthias|05.03.2010|Eltern|Frau||Felbert|Melanie|Herr||Felbert|Stefan|Braunschweigallee 326|53123|Bonn||Felbert@email.de|J|stefan.goebels@web.de
Felbert|Brigitte|18.04.2010|Eltern|Frau||Felbert|Salima|Herr||Felbert|Toufik|Brontëweg 2|48163|Münster||Felbert@email.de|J|
Fenny|Ralf|08.12.2008|Mutter|Frau||Fenny|Rigerta|||||Saarlandstraße 399|41464|Neuss||Fenny@email.de|J|
Fischer|Florian|25.09.2003|Schüler ist volljährig|Herr||Fischer|Florian|||||Letzte Straße 253|53225|Bonn|||J|
Fischer|Florian|25.09.2003|Eltern|Frau||Fischer|Cahlde|Herr||Fischer|Medeni|Letzte Straße 253|53225|Bonn||Fischer@email.de|J|
Fißler|Philipp|06.07.2007|Eltern|Frau||Fißler|Sonja|Herr||Fißler|Damir|Lennéstraße 151|48612|Horstmar||Fißler@email.de|J|AD6775@web.de
Flor|René|06.06.2006|Eltern|Frau||Flor|Pervin|Herr||Flor|Adem|Puchanstraße 99|40233|Düsseldorf||Flor@email.de|J|
Ford|Martin|10.05.2007|Eltern|Frau||Ford|Stefanie|Herr||Ford|Jens|Neue Gasse 164|44791|Bochum||Ford@email.de|J|jnosbers@gmx.de
Foster|Diana|02.04.2009|Eltern|Frau||Foster|Adriane|Herr||Foster|Roman|Karlplatz 158|52393|Hürtgenwald||Foster@email.de|J|wonchalla@web.de
Frahm|Lea|24.12.2006|Eltern|Frau||Frahm|Aurelia|Herr||Frahm|Paul|Albert-Schweitzer-Straße 367|52428|Jülich||Frahm@email.de|J|
Freithoff|Vanessa|10.02.2008|Eltern|Frau||Freithoff|Vjollca|Herr||Freithoff|Shpemol|Alteneckstraße 336|57271|Hilchenbach||Freithoff@email.de|J|
Freundt|Annett|22.07.2006|Eltern|Frau||Freundt|Annette|Herr||Freundt|Olaf|Ernst-Bumm-Weg 460|42857|Remscheid||Freundt@email.de|J|
Friedel|Ursula|19.04.2005|Eltern|Frau||Friedel|Melahat|Herr||Friedel|Altan|Schmale Straße 265|48429|Rheine||Friedel@email.de|J|
Frieling|Marina|24.04.2006|Mutter|Frau||Frieling|Bruni|||||Antoniuskirchstraße 462|57074|Siegen||Frieling@email.de|J|
Frieling|Marina|24.04.2006|Vater|Herr||Frieling|Arnd|||||Antoniuskirchstraße 462|57074|Siegen||Frieling@email.de|J|
Frieling|Jana|06.05.2007|Mutter|Frau||Frieling|Jennifer|||||Emmy-Zehden-Weg 364|51467|Bergisch Gladbach||Frieling@email.de|J|
Fröhlich|Ines|29.09.2010|Eltern|Frau||Fröhlich|Zehra|Herr||Fröhlich|Cengiz|Kronenstraße 135|58452|Witten||Fröhlich@email.de|J|
Gabel|Marina|23.05.2006|Eltern|Frau||Gabel|Nazan|Herr||Gabel|Cemil|Mahlsdorfer Straße 96|45964|Gladbeck||Gabel@email.de|J|
Gabel|Lukas|23.02.2007|Eltern|Frau||Gabel|Claudia|Herr||Gabel|Kai Oliver|Spreestraße 214|53604|Bad Honnef||Gabel@email.de|J|
Gabel|Juliane|24.10.2006|Mutter|Frau||Gabel|Brigitte|||||Flakenseestraße 459|47652|Weeze||Gabel@email.de|J|
Gabriels|Steffen|15.04.2008|Eltern|Frau||Gabriels|Nicole|Herr||Gabriels|Santos|Stralauer Straße 497|48249|Dülmen||Gabriels@email.de|J|
Garrelts|Katharina|28.07.2008|Eltern|Frau||Garrelts|Serena|Herr||Garrelts|Roberto|Asseburgpfad 282|59757|Arnsberg||Garrelts@email.de|J|
Gauert|Christina|30.01.2007|Eltern|Frau||Gauert|Christina|Herr||Gauert|Xenofon|Piepertswinkel 311|32361|Preußisch Oldendorf||Gauert@email.de|J|
Gebhard|Swen|30.03.2004|Eltern|Frau||Gebhard|Bilgen|Herr||Gebhard|Ergün|Schloßparkstraße 178|51503|Rösrath||Gebhard@email.de|J|
Gehlen|Angelika|17.03.2006|Mutter|Frau||Gehlen|Heidi|||||Erpetaler Weg 423|44653|Herne||Gehlen@email.de|J|
Gehlen|Angelika|17.03.2006|Vater|Herr||Gehlen|Jörg|||||Erpetaler Weg 423|44653|Herne||Gehlen@email.de|J|
Gehlsen|Katja|10.12.2005|Eltern|Frau||Gehlsen|Astrid|Herr||Gehlsen|Martin|Leuschnerdamm 278|40670|Meerbusch||Gehlsen@email.de|J|
Geier|Karolin|06.03.2009|Mutter|Frau||Geier|Sarah|||||Agathe-Lasch-Platz 491|57074|Siegen||Geier@email.de|J|
Geier|Karolin|06.03.2009|Vater|Herr||Geier|Sven|||||Agathe-Lasch-Platz 491|57074|Siegen||Geier@email.de|J|
Geis|Anne|12.06.2005|Eltern|Frau||Geis|Tanja|Herr||Geis|Can|Kirchhofs-Gasse 415|48683|Ahaus||Geis@email.de|J|canyeniguen@gmail.com
Gelck|Tom|13.10.2009|Eltern|Frau||Gelck|Lale|Herr||Gelck|Erkan|Nach dem neuen Stifte 285|44623|Herne||Gelck@email.de|J|
Geller|Claudia|17.03.2007|Vormundschaft|Frau||Geller|Hanife|Herr||Geller|Fuat|Elstergrund 380|49545|Tecklenburg||Geller@email.de|J|
Gellich|Kristin|10.07.2006|Eltern|Frau||Gellich|Tatjana|Herr||Gellich|Joachim|Saarlandstraße 273|57223|Kreuztal||Gellich@email.de|J|
Genster|Laura|11.05.2004|Eltern|Frau||Genster|Emanuela|Herr||Genster|Thomas|Neue Kommandantenstraße 182|58638|Iserlohn||Genster@email.de|J|
Gerhard|Eric|10.02.2004|Eltern|Frau||Gerhard|Jeanette|Herr|Dr.|Gerhard|Rüdiger|Am Dornbusch 265|59510|Lippetal||Gerhard@email.de|J|
Gerhard|Annett|15.09.2004|Eltern|Frau||Gerhard|Melanie|Herr||Gerhard|Frank|Cauerstraße 220|60529|Frankfurt||Gerhard@email.de|J|
Gerok|Melanie|13.10.2006|Mutter|Frau||Gerok|Natalia|||||Am Rupenhorn 161|40885|Ratingen||Gerok@email.de|J|
