Nachname|Vorname|Geburtsdatum|Telefonnr.|Art
Albert|Marie|23.01.2009|01234-172474|Handy Vater
Amler|Jessika|23.11.2007|01234-210404|Eltern
Amler|Jessika|23.11.2007|01234-488519|Handy Mutter
Amler|Jessika|23.11.2007|01234-325197|Handy Vater
Amler|Jessika|23.11.2007|01234-190872|Dienststelle Vater
Andreae|Christian|21.08.2010|01234-376228|Handy Großmutter
Andreae|Christian|21.08.2010|01234-649319|Handy Vater
Andreae|Christian|21.08.2010|01234-395132|Handy Mutter
Andresen|Katja|22.05.2009|01234-409442|Eltern
Andresen|Katja|22.05.2009|01234-877365|Großeltern
Andresen|Katja|22.05.2009|01234-780294|Großeltern
Andresen|Katja|22.05.2009|01234-868270|Handy Vater
Andresen|Katja|22.05.2009|01234-912207|Großeltern
Andresen|Katja|22.05.2009|01234-733161|Großeltern
Andresen|Katja|22.05.2009|01234-844710|Handy Mutter
Arbat|Alexander|30.11.2003|01234-887045|Handy Vater
Arbat|Alexander|30.11.2003|01234-859441|Vater
Arentz|Steffen|08.05.2006|01234-181955|Eltern
Arentz|Steffen|08.05.2006|01234-860952|Handy Mutter
Arentz|Steffen|08.05.2006|01234-976634|Handy Vater
Arentz|Steffen|08.05.2006|01234-523770|Dienststelle Vater
Arentz|Steffen|08.05.2006|01234-854357|Dienststelle Vater
Aßmann|Barbara|02.03.2002|01234-937622|Handy Mutter
Aßmann|Barbara|02.03.2002|01234-471121|Handy Vater
Aßmann|Barbara|02.03.2002|01234-193407|Eltern
Auer|Stefanie|29.09.2004|01234-863540|Festnetznummer
Auer|Stefanie|29.09.2004|01234-451531|Handy Mutter
Auer|Stefanie|29.09.2004|01234-787320|Handy Vater
Bahnsen|Markus|08.01.2009|01234-352013|Eltern
Bahnsen|Markus|08.01.2009|01234-131252|Handy Mutter
Bahnsen|Markus|08.01.2009|01234-861205|Handy Vater
Bahnsen|Markus|08.01.2009|01234-302154|Großeltern
Bare|Kristin|13.11.2003|01234-897656|Handy Vater
Bareyre|Kathrin, Katrin|24.03.2008|01234-959304|Dienststelle Mutter
Bareyre|Kathrin, Katrin|24.03.2008|01234-556386|Mutter
Bareyre|Kathrin, Katrin|24.03.2008|01234-982619|Handy Mutter
Bartelsen|Torsten|17.12.2004|01234-611715|Eltern
Bartelsen|Torsten|17.12.2004|01234-983649|Handy Mutter
Bartelsen|Torsten|17.12.2004|01234-242067|Handy Vater
Bartelsen|Torsten|17.12.2004|01234-273009|Dienststelle Vater
Bartelsen|Torsten|17.12.2004|01234-472716|Dienststelle Mutter
Basch|Doreen|24.06.2009|01234-774271|Handy Mutter
Basch|Doreen|24.06.2009|01234-689410|Handy Vater
Basch|Doreen|24.06.2009|01234-389845|Onkel
Bauer|Ulrich|25.12.2003|01234-742110|Handy Mutter
Bauer|Ulrich|25.12.2003|01234-407933|Handy Vater
Bauer|Ulrich|25.12.2003|01234-965169|Dienststelle Mutter
Baumbach|Jan|29.05.2009|01234-714839|Notfallnummer
Baumbach|Jan|29.05.2009|01234-186090|Handy Vater
Baumbach|Jan|29.05.2009|01234-469424|Handy Mutter
Baumeister|Ulrike|20.06.2009|01234-403488|Dienststelle Vater
Baumeister|Ulrike|20.06.2009|01234-227407|Handy Mutter
Baumeister|Ulrike|20.06.2009|01234-773566|Handy Vater
Baumeister|Ulrike|20.06.2009|01234-727032|Eltern
Beckenhennings|Anne|13.04.2003|01234-358387|Mobilnummer
Beckmann|Sandra|16.04.2004|01234-999105|Handy Großvater
Beckmann|Sandra|16.04.2004|01234-401358|Oma
Beckmann|Sandra|16.04.2004|01234-840106|Handy Vater
Beckmann|Sandra|16.04.2004|01234-211683|Handy Mutter
Behrendt|Martina|27.10.2009|01234-774406|Handy Mutter
Behrendt|Martina|27.10.2009|01234-936112|Handy Großvater
Behrendt|Martina|27.10.2009|01234-154670|Dienststelle Vater
Behrendt|Martina|27.10.2009|01234-765123|Dienststelle Mutter
Behrendt|Martina|27.10.2009|01234-394355|Eltern
Behrendt|Martina|27.10.2009|01234-949991|Handy Vater
Benfer|Juliane|07.06.2011|01234-457585|Handy Mutter
Benfer|Juliane|07.06.2011|01234-190095|Handy Vater
Benfer|Juliane|07.06.2011|01234-685452|Eltern
Berg|Laura|03.11.2007|01234-495158|Eltern
Berg|Jennifer|20.03.2008|01234-240781|Dienststelle Mutter
Berg|Jennifer|20.03.2008|01234-886102|Handy Vater
Berg|Laura|03.11.2007|01234-334949|Handy Großmutter
Berg|Jennifer|20.03.2008|01234-479240|Handy Mutter
Berg|Laura|03.11.2007|01234-118743|Handy Vater
Berg|Jennifer|20.03.2008|01234-235483|Dienststelle Vater
Berg|Laura|03.11.2007|01234-838898|Handy Mutter
Bergmann|Maria|18.10.2008|01234-222504|Handy Vater
Bergmann|Maria|18.10.2008|01234-497941|Handy Mutter
Bergmann|Maria|18.10.2008|01234-418328|Eltern
Bergmann|Maria|18.10.2008|01234-759374|Dienststelle Mutter
Bernet|Kathrin, Katrin|17.06.2009|01234-125301|Tante
Bernet|Kathrin, Katrin|17.06.2009|01234-979087|Dienststelle Vater
Bernet|Kathrin, Katrin|17.06.2009|01234-185846|Handy Mutter
Bernet|Kathrin, Katrin|17.06.2009|01234-158322|Großeltern
Bertmaring|Eric|18.06.2004|01234-243029|Eltern
Bertmaring|Eric|18.06.2004|01234-416223|Handy Mutter
Bertmaring|Eric|18.06.2004|01234-197707|Handy Vater
Bertmars|Jessica|05.09.2008|01234-641145|Eltern
Bertmars|Jessica|05.09.2008|01234-974660|Dienststelle Mutter
Bertmars|Jessica|05.09.2008|01234-503121|Handy Vater
Bertmars|Jessica|05.09.2008|01234-883556|Handy Mutter
Bethke|Kathrin, Katrin|08.06.2006|01234-419923|Handy Vater
Bethke|Kathrin, Katrin|08.06.2006|01234-124749|Handy Mutter
Bethke|Kathrin, Katrin|08.06.2006|01234-669424|Festnetznummer
Beyer|Swen|30.06.2010|01234-347143|Onkel
Beyer|Swen|30.06.2010|01234-420661|Handy Mutter
Beyer|Swen|30.06.2010|01234-968962|Eltern
Beyer|Swen|30.06.2010|01234-199956|Onkel
Beyer|Swen|30.06.2010|01234-397396|Handy Vater
Beyer|Swen|30.06.2010|01234-383041|Cousine
Beyl|René|18.06.2005|01234-360551|Handy Mutter
Bican|Felix|14.03.2010|01234-809385|Eltern
Bican|Felix|14.03.2010|01234-286109|Bruder
Bican|Felix|14.03.2010|01234-318469|Handy Mutter
Bisson|Michael|24.12.2004|01234-893873|Vater
Bisson|Michael|24.12.2004|01234-850615|Mutter
Bisson|Lena|29.06.2008|01234-383468|Dienststelle Vater
Bisson|Lena|29.06.2008|01234-325822|Eltern
Bisson|Lena|29.06.2008|01234-239353|Handy Mutter
Blöser|Sabine|25.03.2010|01234-704833|Eltern
Blöser|Sabine|25.03.2010|01234-135400|Handy Mutter
Blöser|Sabine|25.03.2010|01234-782653|Handy Großmutter
Blöser|Sabine|25.03.2010|01234-367830|Dienststelle Mutter
Blöser|Sabine|25.03.2010|01234-271148|Handy Vater
Blum|Laura|07.09.2004|01234-770150|Handy Mutter
Blum|Laura|07.09.2004|01234-870532|Handy Vater
Blum|Laura|07.09.2004|01234-573088|Eltern
Bödding|Peter|01.10.2006|01234-640573|Lebensgefährtin Vater
Bödding|Peter|01.10.2006|01234-482917|Handy Vater
Bödding|Peter|01.10.2006|01234-643222|Großeltern
Bödefeld|Thorsten|04.09.2008|01234-572673|Geschäft Eltern
Bödefeld|Thorsten|04.09.2008|01234-259825|Handy Mutter
Bödefeld|Thorsten|04.09.2008|01234-434340|Handy Vater
Bödefeld|Thorsten|04.09.2008|01234-138697|Notfallnummer
Böhmer|Lukas|21.05.2010|01234-105210|Handy Vater
Böhmer|Lukas|21.05.2010|01234-801853|Handy Mutter
Böhmer|Lukas|21.05.2010|01234-253799|Eltern
Bolt|Christian|13.05.2007|01234-310546|Handy Vater
Bolt|Christian|13.05.2007|01234-917386|Handy Mutter
Bolt|Christian|13.05.2007|01234-383047|Eltern
Both|Erik|17.09.2004|01234-854290|Festnetznummer
Both|Erik|17.09.2004|01234-656725|Dienststelle Vater
Both|Erik|17.09.2004|01234-326686|Handy Vater
Both|Erik|17.09.2004|01234-812120|Handy Mutter
Both|Erik|17.09.2004|01234-817783|Dienststelle Mutter
Böttcher|Dieter|30.06.2006|01234-347557|Dienststelle Mutter
Böttcher|Dieter|30.06.2006|01234-292230|Handy Mutter
Böttcher|Dieter|30.06.2006|01234-936265|Festnetznummer
Böttcher|Dieter|30.06.2006|01234-230641|Handy Vater
Boy|Markus|31.01.2006|01234-973929|Mutter
Boy|Markus|31.01.2006|01234-830000|Handy Mutter
Breid|Benjamin|10.03.2010|01234-688370|Handy Mutter
Breid|Benjamin|10.03.2010|01234-983676|Festnetznummer
Breid|Benjamin|10.03.2010|01234-774801|Dienststelle Vater
Breid|Benjamin|10.03.2010|01234-679056|Dienststelle Mutter
Breid|Benjamin|10.03.2010|01234-376116|Handy Vater
Breton|Christin|31.05.2004|01234-195205|Dienststelle Mutter
Breton|Christin|31.05.2004|01234-612063|Dienststelle Vater
Breton|Christin|31.05.2004|01234-449634|Eltern
Breton|Christin|31.05.2004|01234-810577|Handy Mutter
Breton|Christin|31.05.2004|01234-857194|Handy Vater
Briel|Susanne|05.10.2005|01234-901481|Handy Mutter
Briel|Susanne|05.10.2005|01234-268674|Handy Vater
Briel|Susanne|05.10.2005|01234-674032|Eltern
Brinkmann|Vanessa|24.05.2008|01234-700800|Großeltern
Brinkmann|Vanessa|24.05.2008|01234-417540|Dienststelle Mutter
Brinkmann|Vanessa|24.05.2008|01234-563677|Handy Mutter
Brinkmann|Vanessa|24.05.2008|01234-585350|Handy Vater
Brinkmann|Vanessa|24.05.2008|01234-506773|Mutter
Bröcking|Anke|20.11.2005|01234-385529|Handy Mutter
Bröcking|Anke|20.11.2005|01234-714057|Handy Vater
Bröcking|Anke|20.11.2005|01234-863368|Dienststelle Vater
Bröcking|Anke|20.11.2005|01234-188347|Dienststelle Mutter
Bröcking|Anke|20.11.2005|01234-971326|Eltern
Brockmann|Dirk|01.06.2008|01234-948493|Handy Mutter
Brockmann|Kristian|03.05.2009|01234-992928|Arbeit
Brockmann|Kristian|03.05.2009|01234-115454|Handy Mutter
Brockmann|Kristian|03.05.2009|01234-765249|Handy Vater
Brockmann|Dirk|01.06.2008|01234-123934|Eltern
Brockmann|Kristian|03.05.2009|01234-468569|Eltern
Brot|Niklas|09.02.2007|01234-879718|Handy Mutter
Brot|Niklas|09.02.2007|01234-221878|Handy Vater
Brot|Niklas|09.02.2007|01234-938490|Eltern
Brot|Niklas|09.02.2007|01234-380713|Dienststelle Vater
Brot|Niklas|09.02.2007|01234-462022|Dienststelle Mutter
Bruhn|Marco|16.04.2007|01234-191453|Eltern
Bruning|Christina|24.04.2005|01234-253489|Handy Vater
Bruning|Christina|24.04.2005|01234-397355|Eltern
Bruning|Christina|24.04.2005|01234-376845|Handy Mutter
Bruning|Christina|24.04.2005|01234-934771|Dienststelle Mutter
Brüning|Christin|01.03.2010|01234-959596|Handy Mutter
Brüning|Christin|01.03.2010|01234-561759|Handy Stiefvater
Brüning|Christin|01.03.2010|01234-862540|Mutter
Bruschius|Melanie|11.10.2009|01234-292760|Großeltern
Bruschius|Melanie|11.10.2009|01234-808920|Handy Mutter
Buck|Phillipp|10.01.2005|01234-816793|Dienststelle Vater
Buck|Phillipp|10.01.2005|01234-332550|Eltern
Buck|Phillipp|10.01.2005|01234-156283|Handy Mutter
Buck|Phillipp|10.01.2005|01234-732146|Handy Vater
Buck|Phillipp|10.01.2005|01234-131067|Dienststelle Mutter
Bülcke|Markus|02.05.2007|01234-993290|Handy Mutter
Bülcke|Markus|02.05.2007|01234-240151|Eltern
Bullerbeck|Christina|29.12.2006|01234-414104|Handy Vater
Bullerbeck|Christina|29.12.2006|01234-759297|Tante
Bullerbeck|Christina|29.12.2006|01234-638158|Dienststelle Vater
Bullerbeck|Christina|29.12.2006|01234-853784|Großeltern
Bullerbeck|Christina|29.12.2006|01234-336264|Eltern
Bullerbeck|Christina|29.12.2006|01234-272103|Handy Mutter
Bunnell|Jörg|09.05.2008|01234-385342|Handy Vater
Bunnell|Jörg|09.05.2008|01234-304617|Handy Mutter
Bunnell|Jörg|09.05.2008|01234-941677|Eltern
Burghaus|Ursula|04.06.2006|01234-945170|Handy Mutter
Burghaus|Ursula|04.06.2006|01234-144949|Handy Vater
Burghaus|Ursula|04.06.2006|01234-672864|Dienststelle Mutter
Burow|Diana|29.10.2006|01234-673223|Eltern
Burow|Diana|29.10.2006|01234-153235|Handy Mutter
Burow|Diana|29.10.2006|01234-935006|Handy Vater
Burtonshall|Dieter|25.06.2008|01234-574513|Handy Vater
Burtonshall|Dieter|25.06.2008|01234-748294|Vater
Burtonshall|Dieter|25.06.2008|01234-222295|Notfallnummer
Burtonshall|Dieter|25.06.2008|01234-833514|Handy Mutter
Burtonshall|Dieter|25.06.2008|01234-518023|Dienststelle Vater
Büssing|Manuela|03.09.2004|01234-571837|Eltern
Büssing|Manuela|03.09.2004|01234-413432|Handy Mutter
Büssing|Manuela|03.09.2004|01234-289898|Handy Vater
Büttner|Kristian|15.05.2008|01234-862750|Handy Mutter
Büttner|Kristian|15.05.2008|01234-585411|Handy Vater
Büttner|Kristian|15.05.2008|01234-339211|Eltern
Chausse|Annett|25.11.2003|01234-612944|Handy Vater
Chausse|Annett|25.11.2003|01234-392205|Eltern
Chausse|Annett|25.11.2003|01234-590505|Handy Mutter
Clemens|Kevin|11.08.2007|01234-238775|Eltern
Clemens|Kevin|11.08.2007|01234-173124|Handy Mutter
Clemens|Kevin|11.08.2007|01234-798697|Handy Vater
Clemens|Kevin|11.08.2007|01234-831867|Dienststelle Mutter
Clemens|Kevin|11.08.2007|01234-519492|Dienststelle Vater
Colman|Sophie|13.10.2008|01234-341634|Handy Mutter
Colman|Sophie|13.10.2008|01234-978902|Dienststelle Mutter
Colman|Sophie|13.10.2008|01234-607995|Dienststelle Vater
Colman|Sophie|13.10.2008|01234-658416|Handy Vater
Colman|Sophie|13.10.2008|01234-338791|Eltern
Colman|Sophie|13.10.2008|01234-930646|Großeltern
Cols|Stefanie|07.04.2010|01234-911079|Handy Mutter
Cols|Stefanie|07.04.2010|01234-439224|Tante
Cols|Stefanie|07.04.2010|01234-942809|Handy Vater
Conney|Andrea|09.01.2009|01234-322387|Dienststelle Mutter
Conney|Andrea|09.01.2009|01234-714684|Dienststelle Vater
Conney|Andrea|09.01.2009|01234-233108|Dienststelle Vater
Conney|Andrea|09.01.2009|01234-683523|Handy Mutter
Conney|Andrea|09.01.2009|01234-568946|Großeltern
Conney|Andrea|09.01.2009|01234-103486|Großeltern
Conney|Andrea|09.01.2009|01234-569976|Handy Vater
Conney|Andrea|09.01.2009|01234-924134|Eltern
Conrads|Benjamin|20.03.2005|01234-783580|Handy Mutter
Conrads|Benjamin|20.03.2005|01234-104104|Handy Vater
Conrads|Benjamin|20.03.2005|01234-329173|Dienststelle Vater
Conrads|Benjamin|20.03.2005|01234-258478|Eltern
Cort|Ines|08.04.2004|01234-739273|Mobilnummer
Creutzer|Anna|04.08.2009|01234-374958|Handy Mutter
Creutzer|Anna|04.08.2009|01234-796692|Dienststelle Mutter
Creutzer|Anna|04.08.2009|01234-701078|Handy Vater
Creutzer|Anna|04.08.2009|01234-585411|Dienststelle Vater
Crump|Ines|05.01.2005|01234-724237|Handy Mutter
Crump|Ines|05.01.2005|01234-295535|Handy Vater
Cruse|Ines|10.03.2005|01234-544025|Handy Vater
Cruse|Ines|10.03.2005|01234-517457|Eltern
Cruse|Ines|10.03.2005|01234-108914|Handy Mutter
Dalcke|Torsten|19.10.2005|01234-767712|Handy Mutter
Dalcke|Torsten|19.10.2005|01234-245581|Handy Vater
Danielsen|Anja|22.11.2006|01234-838521|Dienststelle Vater
Danielsen|Anja|22.11.2006|01234-323024|Eltern
Danielsen|Anja|22.11.2006|01234-131354|Handy Mutter
Danielsen|Anja|22.11.2006|01234-599042|Handy Vater
Darick|Christin|14.02.2004|01234-531623|Eltern
Darick|Christin|14.02.2004|01234-100970|Handy Mutter
Darick|Christin|14.02.2004|01234-691170|Dienststelle Vater
Daum|Matthias|27.11.2003|01234-460363|Handy Mutter
Daum|Matthias|27.11.2003|01234-442503|Handy Vater
de Peyrelongue|Ralf|14.02.2004|01234-801130|Handy Vater
de Peyrelongue|Stefanie|02.03.2010|01234-967640|Handy Mutter
de Peyrelongue|Stefanie|02.03.2010|01234-640157|Eltern
de Peyrelongue|Stefanie|02.03.2010|01234-444170|Notfallnummer
de Peyrelongue|Stefanie|02.03.2010|01234-882252|Dienststelle Vater
de Peyrelongue|Ralf|14.02.2004|01234-272735|Handy Mutter
Decker|Martin|10.04.2009|01234-909594|Handy Vater
Decker|Martin|10.04.2009|01234-189606|Handy Mutter
Decker|Martin|10.04.2009|01234-462848|Eltern
Deipenbrock|Katja|23.12.2005|01234-553839|Handy Vater
Deipenbrock|Katja|23.12.2005|01234-517943|Eltern
Deuter|Leon|01.11.2002|01234-626593|Festnetznummer
Deuter|Leon|01.11.2002|01234-674623|Handy Mutter
Deuter|Leon|01.11.2002|01234-209117|Oma
Didrichs|Petra|28.06.2005|01234-909804|Handy Vater
Didrichs|Petra|28.06.2005|01234-844031|Handy Mutter
Didrichs|Petra|28.06.2005|01234-295442|Dienststelle Vater
Didrichs|Petra|28.06.2005|01234-863898|Eltern
Didrichs|Petra|28.06.2005|01234-533361|Dienststelle Mutter
Dieders|Philipp|22.07.2010|01234-398776|Handy Vater
Dieders|Philipp|22.07.2010|01234-817188|Handy Mutter
Dieders|Philipp|22.07.2010|01234-866949|Eltern
Diele|Diana|23.03.2006|01234-379988|Festnetznummer
Diele|Diana|23.03.2006|01234-287943|Handy Mutter
Diele|Diana|23.03.2006|01234-995505|Handy Vater
Dodson|Stefanie|21.11.2007|01234-616264|Eltern
Dodson|Stefanie|21.11.2007|01234-784322|Handy Vater
Dodson|Stefanie|21.11.2007|01234-874346|Handy Mutter
Dodson|Stefanie|21.11.2007|01234-973260|Dienststelle Mutter
Dodson|Stefanie|21.11.2007|01234-744421|Dienststelle Vater
Domdrowski|Maria|29.05.2008|01234-765611|Oma
Domdrowski|Maria|29.05.2008|01234-894423|Handy Großmutter
Domdrowski|Maria|29.05.2008|01234-272546|Handy Mutter
Domdrowski|Maria|29.05.2008|01234-526371|Dienststelle Mutter
Domdrowski|Maria|29.05.2008|01234-691107|Handy Vater
Domdrowski|Maria|29.05.2008|01234-933393|Dienststelle Vater
Domdrowski|Maria|29.05.2008|01234-363081|Eltern
Dörner|Alexander|03.08.2004|01234-547921|Mutter
Dörner|Alexander|03.08.2004|01234-585941|Handy Mutter
Dörner|Alexander|03.08.2004|01234-141461|Dienststelle Mutter
Dörner|Alexander|03.08.2004|01234-817860|Oma
Dortmann|Sabrina|03.05.2005|01234-569640|Eltern
Dortmann|Sabrina|03.05.2005|01234-140618|Handy Mutter
Dortmann|Sabrina|03.05.2005|01234-726301|Handy Vater
Drewes|Andreas|06.01.2010|01234-820548|Festnetznummer
Drewes|Andreas|06.01.2010|01234-878807|Handy Mutter
Drypollak|Lukas|09.10.2007|01234-440984|Handy Mutter
Drypollak|Lukas|09.10.2007|01234-584842|Handy Vater
Drypollak|Lukas|09.10.2007|01234-598064|Dienststelle Mutter
Drypollak|Lukas|09.10.2007|01234-907208|Großeltern
Drypollak|Lukas|09.10.2007|01234-240383|Eltern
Düsterbeck|Thorsten|24.05.2008|01234-475299|Dienststelle Vater
Düsterbeck|Thorsten|24.05.2008|01234-274888|Handy Vater
Düsterbeck|Thorsten|24.05.2008|01234-203352|Oma
Düsterbeck|Kristin|16.02.2004|01234-770907|Handy Mutter
Düsterbeck|Kristin|16.02.2004|01234-625393|Eltern
Düsterbeck|Thorsten|24.05.2008|01234-908512|Handy Mutter
Eckbrett|Sara|19.08.2009|01234-263859|Handy Großmutter
Eckbrett|Sara|19.08.2009|01234-281531|Handy Mutter
Edden|Nadine|22.03.2009|01234-723029|Notfallnummer
Edden|Nadine|22.03.2009|01234-416372|Tante
Edden|Nadine|22.03.2009|01234-885440|Handy Mutter
Edden|Nadine|22.03.2009|01234-317051|Handy Vater
Edden|Nadine|22.03.2009|01234-284122|Dienststelle Mutter
Edden|Nadine|22.03.2009|01234-739522|Dienststelle Vater
Eiden|Nadine|16.12.2005|01234-902531|Handy Mutter
Eiden|Nadine|16.12.2005|01234-584732|Handy Vater
Eiden|Nadine|16.12.2005|01234-996588|Großeltern
Eiden|Nadine|16.12.2005|01234-169911|Oma
Eiden|Nadine|16.12.2005|01234-187669|Dienststelle Mutter
Eiden|Nadine|16.12.2005|01234-674173|Dienststelle Vater
Eiden|Nadine|16.12.2005|01234-940427|Eltern
Eigener|Antje|12.06.2009|01234-601062|Dienststelle Vater
Eigener|Antje|12.06.2009|01234-844202|Handy Vater
Eigener|Antje|12.06.2009|01234-275611|Handy Mutter
Eigener|Antje|12.06.2009|01234-855259|Eltern
Eilers|Andrea|14.09.2006|01234-248743|Handy Vater
Eilers|Andrea|14.09.2006|01234-218141|Handy Mutter
Eilers|Andrea|14.09.2006|01234-580966|Mutter
Else|Christin|09.06.2008|01234-373265|Notfallnummer
Eschholtz|Torsten|21.09.2004|01234-253787|Handy Vater
Eschholtz|Torsten|21.09.2004|01234-172080|Handy Mutter
Eschholtz|Torsten|21.09.2004|01234-197225|Eltern
Esselborn|Christine|04.08.2010|01234-109831|Oma
Esselborn|Christine|04.08.2010|01234-222781|Eltern
Esselborn|Christine|04.08.2010|01234-232644|Handy Mutter
Esselborn|Christine|04.08.2010|01234-466620|Handy Vater
Esselborn|Christine|04.08.2010|01234-774967|Dienststelle Vater
Esselborn|Christine|04.08.2010|01234-978813|Großeltern
Eylers|Katharina|21.06.2006|01234-666485|Handy Mutter
Eylers|Gabriele|02.05.2010|01234-856224|Dienststelle Mutter
Eylers|Gabriele|02.05.2010|01234-940428|Handy Vater
Eylers|Gabriele|02.05.2010|01234-815403|Eltern
Eylers|Katharina|21.06.2006|01234-288840|Handy Vater
Eylers|Katharina|21.06.2006|01234-534802|Eltern
Eylers|Katharina|21.06.2006|01234-813242|Dienststelle Mutter
Eylers|Katharina|21.06.2006|01234-563226|Notfallnummer
Eylers|Katharina|21.06.2006|01234-691356|Großeltern
Eylers|Katharina|21.06.2006|01234-801512|Dienststelle Vater
Eylers|Gabriele|02.05.2010|01234-165027|Handy Mutter
Fahnemann|Ralph|16.05.2006|01234-474961|Handy Vater
Fahnemann|Ralph|16.05.2006|01234-216690|Mutter
Fahnemann|Ralph|16.05.2006|01234-503072|Handy Mutter
Fahnemann|Ralph|16.05.2006|01234-909035|Dienststelle Vater
Fahnemann|Ralph|16.05.2006|01234-289791|Dienststelle Mutter
Fahnemann|Ralph|16.05.2006|01234-774280|Vater
Felbert|Matthias|05.03.2010|01234-433523|Eltern
Felbert|Matthias|05.03.2010|01234-210268|Handy Großmutter
Felbert|Matthias|05.03.2010|01234-281609|Handy Großmutter
Felbert|Matthias|05.03.2010|01234-347841|Großeltern
Felbert|Matthias|05.03.2010|01234-322183|Großeltern
Felbert|Matthias|05.03.2010|01234-337211|Handy Vater
Felbert|Matthias|05.03.2010|01234-546036|Handy Mutter
Felbert|Brigitte|18.04.2010|01234-248241|Eltern
Felbert|Brigitte|18.04.2010|01234-523082|Handy Mutter
Felbert|Brigitte|18.04.2010|01234-789693|Handy Vater
Fenny|Ralf|08.12.2008|01234-679510|Familienhelferin
Fenny|Ralf|08.12.2008|01234-595668|Handy Mutter
Fischer|Florian|25.09.2003|01234-800643|Mobilnummer
Fischer|Florian|25.09.2003|01234-236208|Festnetznummer
Fißler|Philipp|06.07.2007|01234-756202|Eltern
Fißler|Philipp|06.07.2007|01234-932757|Großeltern
Fißler|Philipp|06.07.2007|01234-212869|Handy Vater
Flor|René|06.06.2006|01234-181140|Handy Vater
Flor|René|06.06.2006|01234-560069|Handy Mutter
Flor|René|06.06.2006|01234-554750|Eltern
Ford|Martin|10.05.2007|01234-879974|Handy Mutter
Ford|Martin|10.05.2007|01234-934371|Dienststelle Mutter
Ford|Martin|10.05.2007|01234-708407|Mobilnummer
Ford|Martin|10.05.2007|01234-773869|Dienststelle Vater
Ford|Martin|10.05.2007|01234-703387|Handy Vater
Foster|Diana|02.04.2009|01234-116425|Handy Vater
Foster|Diana|02.04.2009|01234-535646|Dienststelle Vater
Foster|Diana|02.04.2009|01234-860781|Großeltern
Foster|Diana|02.04.2009|01234-572283|Handy Mutter
Foster|Diana|02.04.2009|01234-245164|Großeltern
Foster|Diana|02.04.2009|01234-812044|Dienststelle Mutter
Frahm|Lea|24.12.2006|01234-946429|Dienststelle Vater
Frahm|Lea|24.12.2006|01234-428940|Eltern
Frahm|Lea|24.12.2006|01234-458185|Handy Vater
Frahm|Lea|24.12.2006|01234-481633|Handy Mutter
Frahm|Lea|24.12.2006|01234-193117|Dienststelle Mutter
Freithoff|Vanessa|10.02.2008|01234-258771|Handy Vater
Freithoff|Vanessa|10.02.2008|01234-786058|Handy Mutter
Freundt|Annett|22.07.2006|01234-834005|Handy Vater
Freundt|Annett|22.07.2006|01234-572195|Eltern
Freundt|Annett|22.07.2006|01234-184239|Großeltern
Freundt|Annett|22.07.2006|01234-644029|Handy Mutter
Freundt|Annett|22.07.2006|01234-433642|Dienststelle Vater
Friedel|Ursula|19.04.2005|01234-683666|Eltern
Friedel|Ursula|19.04.2005|01234-561459|Oma
Friedel|Ursula|19.04.2005|01234-178423|Handy Mutter
Friedel|Ursula|19.04.2005|01234-262106|Handy Vater
