Nachname|Vorname|Geburtsdatum|Namenszusatz|Geburtsname|Geburtsort|Ortsteil|Telefon-Nr.|E-Mail|2. Staatsang.|Externe ID-Nr|Sportbefreiung|Fahrschülerart|Haltestelle|Einschulungsart|Entlassdatum|Entlassjahrgang|Datum Schulwechsel|Bemerkungen|BKAZVO|BeginnBildungsgang|Anmeldedatum|Bafög|EP-Jahre|Fax/Mobilnr|Ausweisnummer|schulische E-Mail|Masern-Impfnachweis
Witzki|Dennis|27.12.2010|||Essen||01234-886855|D.Witzki@smail.de||||||51||||||01.08.2015|26.02.2020|N|2|0189-664111||jonas.rohowsky@neg-velbert.de|N
Baumbach|Jan|29.05.2009|||Duisburg||01234-498386|J.Baumbach@smail.de||||||51||||||01.08.2015|27.02.2020|N|2|0189-524761||furkan.kesici@neg-velbert.de|N
Beyer|Swen|30.06.2010|||Wuppertal||01234-277496|S.Beyer@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-552890||ali.altinisik@neg-velbert.de|N
Bican|Felix|14.03.2010|||Duisburg||01234-910000|F.Bican@smail.de||||||51||||||01.08.2015|19.02.2020|N|2|0189-846125||eren.celen@neg-velbert.de|N
Böhmer|Lukas|21.05.2010|||Duisburg||01234-541291|L.Böhmer@smail.de|163|||||51||||||01.08.2015|26.02.2020|N|2|0189-572643||halil.cakmak@neg-velbert.de|N
Drewes|Andreas|06.01.2010|||Essen||01234-400808|A.Drewes@smail.de||||||51||||||01.08.2015|27.02.2020|N|2|0189-253290||muhammed.arslan@neg-velbert.de|N
Felbert|Brigitte|18.04.2010|||Düsseldorf||01234-167465|B.Felbert@smail.de||||||51||||||01.08.2015|27.02.2020|N|2|0189-310993||rania.raouah@neg-velbert.de|N
Hesse|Jessika|19.05.2010|||Löhne||01234-134200|J.Hesse@smail.de||||||51||||||01.08.2015|26.02.2020|N|2|0189-530691||paula.grennigloh@neg-velbert.de|N
Hill|Jens|04.06.2010|||Bedburg||01234-733909|J.Hill@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-170649||metehan.cucum@neg-velbert.de|N
Hövel|Lukas|29.12.2009|||Waltrop||01234-714561|L.Hövel@smail.de||||||51||||||01.08.2015|26.02.2020|N|2|0189-549089||eduard.bytyqi@neg-velbert.de|N
Hummen|Annett|05.02.2010|||Kerpen||01234-195941|A.Hummen@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-549540||mayleen.schindler@neg-velbert.de|N
Iversen|Marina|25.05.2008|||Münster||01234-670912|M.Iversen@smail.de|||||||||||||02.03.2020|N|2|0189-273648||eirini.biniola@neg-velbert.de|N
Kammerer|Tobias|13.04.2010|||Essen||01234-351358|T.Kammerer@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-273878||benedikt.hachmann@neg-velbert.de|N
König|Laura|04.07.2010|||Wegberg||01234-997723|L.König@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-546350||marit.frerichs@neg-velbert.de|N
Kraul|Doreen|23.06.2010|||Mönchengladbach||01234-918738|D.Kraul@smail.de||||||51||||||01.08.2015|18.02.2020|N|2|0189-825680||luisa.nebel@neg-velbert.de|N
Labrot|Anna|01.06.2010|||Düsseldorf||01234-413522|A.Labrot@smail.de||||||51||||||01.08.2015|18.02.2020|N|2|0189-869999||deborah.chinah@neg-velbert.de|N
Lange|Ralph|23.02.2010|||Frankfurt||01234-150630|R.Lange@smail.de||||||51||||||01.08.2015|21.02.2020|N|2|0189-267105||ole.sommerfeld@neg-velbert.de|N
Lankenau|Anke|29.12.2009|||Hamm||01234-579296|A.Lankenau@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-336455||greta.schubert@neg-velbert.de|N
Matthias|Tobias|29.10.2010|||Hünxe||01234-707024|T.Matthias@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-121370||robin.roemer@neg-velbert.de|N
Möller|Vanessa|15.05.2010|||Münster||01234-813251|V.Möller@smail.de|439|||||51||||||01.08.2015|20.02.2020|N|2|0189-351586||nina.abed@neg-velbert.de|N
Ohlschläger|Jessica|04.11.2010|||Lotte||01234-962647|J.Ohlschläger@smail.de||||||51||||||01.08.2015|18.02.2020|N|2|0189-507670||anna.verhufen@neg-velbert.de|N
Ravioz|Gabriele|19.10.2010|||Saerbeck||01234-922924|G.Ravioz@smail.de||||||51||||||01.08.2015|21.02.2020|N|2|0189-632390||annika.goschau@neg-velbert.de|N
Ristow|Anne|05.02.2010|||Düsseldorf||01234-972487|A.Ristow@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-183486||lilia.scheffer@neg-velbert.de|N
Schrage|Lea|03.05.2010|||Hamm||01234-580137|L.Schrage@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-893134||linda.kemmann@neg-velbert.de|N
Sievertsen|Jessica|01.01.2010|||Weilerswist||01234-190225|J.Sievertsen@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-246784||melina.velicanin@neg-velbert.de|N
Vorstius|Janina|26.08.2010|||Remscheid||01234-277070|J.Vorstius@smail.de||||||51||||||01.08.2015|26.02.2020|N|2|0189-799698||klara.gathen@neg-velbert.de|N
Wallin|Stefan|15.05.2010|||Duisburg||01234-200370|S.Wallin@smail.de||||||51||||||01.08.2015|26.02.2020|N|2|0189-497271||simon.demertzis@neg-velbert.de|N
Wenski|Martin|05.06.2010|||Gronau||01234-887795|M.Wenski@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-789449||florian.toedter@neg-velbert.de|N
Andreae|Christian|21.08.2010|||Herne||01234-892093|C.Andreae@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-380964||nidal.shair@neg-velbert.de|N
Benfer|Juliane|07.06.2011|||Essen||01234-355921|J.Benfer@smail.de||||||51||||||01.08.2015|27.02.2020|N|2|0189-611045||melina.skreczek@neg-velbert.de|N
Breid|Benjamin|10.03.2010|||Barntrup||01234-800961|B.Breid@smail.de||||||51||||||01.08.2015|18.02.2020|N|2|0189-136854||laurin.wissel@neg-velbert.de|N
Brüning|Christin|01.03.2010|||Düsseldorf||01234-621436|C.Brüning@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-126110||nora.guel@neg-velbert.de|N
Dieders|Philipp|22.07.2010|||Dortmund||01234-911380|P.Dieders@smail.de||||||51||||||01.08.2015|26.02.2020|N|2|0189-933316||marc.straeter@neg-velbert.de|N
Esselborn|Christine|04.08.2010|||Bochum||01234-364342|C.Esselborn@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-617397||johanna.wolf@neg-velbert.de|N
Felbert|Matthias|05.03.2010|||Hopsten||01234-570058|M.Felbert@smail.de||||||51||||||01.08.2015|21.02.2020|N|2|0189-727965||arvid.brueckmann@neg-velbert.de|N
Fröhlich|Ines|29.09.2010|||Hemer||01234-235418|I.Fröhlich@smail.de|||||||||||||17.02.2020|N|2|0189-428215||yagmur.yanmaz@neg-velbert.de|N
Grebe|Nadine|11.09.2010|||Essen||01234-395009|N.Grebe@smail.de|252|||||51||||||01.08.2015|27.02.2020|N|2|0189-758776||amina.alioui@neg-velbert.de|N
Grewe|Sarah|06.05.2010|||Fröndenberg||01234-132514|S.Grewe@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-593806||amy.mrassi@neg-velbert.de|N
Gülpen|Ralph|29.03.2010|||Hamm||01234-101573|R.Gülpen@smail.de||||||51||||||01.08.2015|27.02.2020|N|2|0189-177289||emin.gkiritli@neg-velbert.de|N
Harmens|Christin|19.04.2010|||Billerbeck||01234-329323|C.Harmens@smail.de|475|||||51||||||01.08.2015|27.02.2020|N|2|0189-991883||jana.alrifai@neg-velbert.de|N
Hase|Anne|22.07.2010|||Castrop-Rauxel||01234-206539|A.Hase@smail.de||||||51||||||01.08.2015|18.02.2020|N|2|0189-875180||leni.piec@neg-velbert.de|N
Hensel|Kevin|12.02.2010|||Hamm||01234-712304|K.Hensel@smail.de||||||51||||||01.08.2015|26.02.2020|N|2|0189-122583||sean.wolframm@neg-velbert.de|N
Heßke|Max|14.02.2010|||Siegen||01234-982188|M.Heßke@smail.de||||||51||||||01.08.2015|18.02.2020|N|2|0189-194174||david.lisson@neg-velbert.de|N
Hubbell|Ursula|24.10.2010|||Dortmund||01234-204520|U.Hubbell@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-760796||pia.hoerentrup@neg-velbert.de|N
Kanich|Kristin|17.09.2010|||Herne||01234-102458|K.Kanich@smail.de||||||51||||||01.08.2015|26.02.2020|N|2|0189-381119||lina.uenluetuerk@neg-velbert.de|N
Kräger|Leon|02.08.2010|||Monheim||01234-745971|L.Kräger@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-520002||david.chaufepie@neg-velbert.de|N
Michelsen|Jan|22.11.2010|||Werther||01234-798407|J.Michelsen@smail.de|130|||||51|||||||17.02.2020|N|2|0189-630981||marino.marijolovic@neg-velbert.de|N
Öllrich|Katja|24.11.2010|||Plettenberg||01234-898526|K.Öllrich@smail.de||||||51||||||01.08.2015|19.02.2020|N|2|0189-586515||victoria.freise@neg-velbert.de|N
Richardi|Robert|31.01.2011|||Duisburg||01234-853657|R.Richardi@smail.de||||||51||||||01.08.2015|27.02.2020|N|2|0189-382480||dara.coskun@neg-velbert.de|N
Schulten|Maria|03.05.2010|||Goch||01234-316388|M.Schulten@smail.de||||||51||||||01.08.2015|19.02.2020|N|2|0189-850199||sina.klaube@neg-velbert.de|N
Schulten|Stephan|10.09.2010|||Bocholt||01234-288203|S.Schulten@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-979466||vincent.eickmann@neg-velbert.de|N
Schulze|Sara|04.05.2010|||Ruppichteroth||01234-743258|S.Schulze@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-553515||aileen.neumann2@neg-velbert.de|N
Sobottka|Claudia|26.05.2010|||Straelen||01234-124614|C.Sobottka@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-197706||livia.ivancic@neg-velbert.de|N
Stolzenburg|Tom|18.10.2010|||Tecklenburg||01234-274326|T.Stolzenburg@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-746637||arda.erdogan@neg-velbert.de|N
Zuber|Daniela|15.06.2010|||Tecklenburg||01234-453498|D.Zuber@smail.de||||||51||||||01.08.2015|19.02.2020|N|2|0189-550911||azra.seven@neg-velbert.de|N
Adams|Lisa|03.03.2009|||Kempen||01234-220374|L.Adams@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-720562||nina.rexhepi@neg-velbert.de|N
Ahlenstiel|Daniela|11.03.2009|||Gütersloh||01234-960198|D.Ahlenstiel@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-358298||franziska.rudolf@neg-velbert.de|N
Albert|Marie|23.01.2009|||Verl||01234-777145|M.Albert@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-205580||finja.goschau@neg-velbert.de|N
Behrendt|Martina|27.10.2009|||Rheinbach||01234-883134|M.Behrendt@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-924383||julia.segat@neg-velbert.de|N
Bernet|Kathrin, Katrin|17.06.2009|||Düsseldorf||01234-310220|K.Bernet@smail.de||||||51||||||01.08.2015|07.03.2019|N|2|0189-343893||lisa.wuttig@neg-velbert.de|N
Brockmann|Kristian|03.05.2009|||Düsseldorf||01234-307334|K.Brockmann@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-535277||miran.ayhan@neg-velbert.de|N
Cols|Stefanie|07.04.2010|||Herzebrock-Clarholz||01234-310693|S.Cols@smail.de||||||51||||||01.08.2015|12.03.2019|N|2|0189-967709||meyra.mollaalioglu@neg-velbert.de|N
Domdrowski|Maria|29.05.2008|||Bedburg||01234-678651|M.Domdrowski@smail.de||||||51|||||||22.02.2018|N|2|0189-548496||tinca.wormland@neg-velbert.de|N
Else|Christin|09.06.2008|||Telgte||01234-428733|C.Else@smail.de||||||51|||||||07.11.2019|N|2|0189-394886||ginevra.mondello@neg-velbert.de|N
Fenny|Ralf|08.12.2008|||Hilchenbach||01234-731970|R.Fenny@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-235768||angelos.kerai@neg-velbert.de|N
Foster|Diana|02.04.2009|||Halle||01234-439464|D.Foster@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-865075||laura.wonchalla@neg-velbert.de|N
Gigel|Sophie|07.05.2008|||Krefeld||01234-501490|S.Gigel@smail.de||||||51|||||||11.08.2020|N|2|0189-806442||svetlana.semibokova@neg-velbert.de|N
Havel|Marco|20.06.2009|||Drensteinfurt||01234-618246|M.Havel@smail.de||||||51||||||01.08.2015|07.03.2019|N|2|0189-534833||sam.jahner@neg-velbert.de|N
Hepner|Barbara|16.06.2009|||Dortmund||01234-955329|B.Hepner@smail.de||||||51||||||01.08.2015|12.03.2019|N|2|0189-129463||carla.rauhaus@neg-velbert.de|N
Kroß|Christin|28.09.2009|||Köln||01234-677795|C.Kroß@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-246525||charlotte.fausten@neg-velbert.de|N
Liskow|Nadine|27.05.2009|||Spenge||01234-728411|N.Liskow@smail.de||||||51||||||01.08.2015|12.03.2019|N|2|0189-659694||julia.klose@neg-velbert.de|N
Lodde|Leon|20.01.2009|||Willich||01234-244463|L.Lodde@smail.de|158|||||51||||||01.08.2015|11.03.2019|N|2|0189-746756||joris.velleuer@neg-velbert.de|N
Oertzen|Matthias|19.07.2009|||Petershagen||01234-542922|M.Oertzen@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-991591||hennes.hoffmann@neg-velbert.de|N
Pick|Uwe|18.02.2010|||Hückeswagen||01234-845174|U.Pick@smail.de||||||52|||||||19.03.2019|N|2|0189-382639||iven.muench@neg-velbert.de|N
Recken|Jennifer|13.05.2009|||Haan||01234-252608|J.Recken@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-688345||leni.ziegert@neg-velbert.de|N
Serocka|Niklas|30.01.2009|||Kall||01234-718465|N.Serocka@smail.de||||||51|||||||18.11.2019|N|2|0189-262344||emil.knoch@neg-velbert.de|N
Staels|Vanessa|17.02.2009|||Morsbach||01234-966287|V.Staels@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-272131||laura.schlegel@neg-velbert.de|N
Steinmüller|Marina|10.09.2009|||Hiddenhausen||01234-412601|M.Steinmüller@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-337244||kim.kula@neg-velbert.de|N
Voss|Kerstin|15.05.2009|||Bielefeld||01234-918275|K.Voss@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-991711||emilia.mueller@neg-velbert.de|N
Baumeister|Ulrike|20.06.2009|||Wiehl||01234-113555|U.Baumeister@smail.de||||||51||||||01.08.2015|12.03.2019|N|2|0189-865320||sena.erkol@neg-velbert.de|N
de Peyrelongue|Stefanie|02.03.2010|||Minden||01234-723822|S.de Peyrelongue@smail.de|163|||||52||||||01.08.2015|07.03.2019|N|2|0189-505122||eda.sabur@neg-velbert.de|N
Eigener|Antje|12.06.2009|||Mönchengladbach||01234-767808|A.Eigener@smail.de|134|||||51||||||01.08.2015|08.03.2019|N|2|0189-726952||adriana.pakou@neg-velbert.de|N
Gelck|Tom|13.10.2009|||Burscheid||01234-783741|T.Gelck@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-530283||eren.kolcak@neg-velbert.de|N
Giessler|Klaus|02.04.2009|||Bochum||01234-263162|K.Giessler@smail.de||||||51||||||01.08.2015|12.03.2019|N|2|0189-469123||michael.kim@neg-velbert.de|N
Ingwers|Christine|12.07.2009|||Essen||01234-288487|C.Ingwers@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-495588||emily.schneider@neg-velbert.de|N
Jacob|Claudia|03.03.2009|||Köln||01234-402748|C.Jacob@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-132925||meryem.kolcak@neg-velbert.de|N
Korb|Laura|03.03.2009|||Düsseldorf||01234-566819|L.Korb@smail.de|137|||||51||||||01.08.2015|11.03.2019|N|2|0189-142547||alessia.vicari@neg-velbert.de|N
Lorenses|Tim|13.11.2009|||Haltern||01234-508893|T.Lorenses@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-970078||mark.kanab@neg-velbert.de|N
Marten|Ines|26.06.2009|||Duisburg||01234-761038|I.Marten@smail.de||||||51||||||01.08.2015|07.03.2019|N|2|0189-132858||precieuse.nkossi@neg-velbert.de|N
Mennemann|Jens|27.05.2009|||Harsewinkel||01234-408708|J.Mennemann@smail.de||||||51||||||01.08.2015|07.03.2019|N|2|0189-166236||mehrshad.tajik@neg-velbert.de|N
Meyer|Martina|17.02.2009|||Viersen||01234-527011|M.Meyer@smail.de||||||51||||||01.08.2015|12.03.2019|N|2|0189-980016||lana.lues@neg-velbert.de|N
Niederschlag|Daniel|07.03.2009|||Sprockhövel||01234-251903|D.Niederschlag@smail.de|163|||||51||||||01.08.2015|11.03.2019|N|2|0189-267001||cantug.uzer@neg-velbert.de|N
Ottens|Juliane|08.01.2010|||Everswinkel||01234-445520|J.Ottens@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-979063||lara.ucar@neg-velbert.de|N
Saint|Martina|05.07.2009|||Köln||01234-264917|M.Saint@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-519054||destiny.bajwa@neg-velbert.de|N
Schulze-Heiming|Anja|16.05.2009|||Hamm||01234-107721|A.Schulze-Heiming@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-906000||ioanna.papoulidou@neg-velbert.de|N
Stahlmann|Patrick|23.01.2009|||Gelsenkirchen||01234-481411|P.Stahlmann@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-336738||theo.spiecker@neg-velbert.de|N
Thoben|Julia|15.02.2009|||Duisburg||01234-999025|J.Thoben@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-338643||carla.klasen@neg-velbert.de|N
van Diest|Paul|28.10.2008|||Bochum||01234-643391|P.van Diest@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-740875||finn.schmerler@neg-velbert.de|N
Volquartsen|Karin|19.01.2009|||unbekannt verzogen||01234-319509|K.Volquartsen@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-699372||jalila.reggai@neg-velbert.de|N
Andresen|Katja|22.05.2009|||Düsseldorf||01234-566622|K.Andresen@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-658330||pia.vollbrecht@neg-velbert.de|N
Bahnsen|Markus|08.01.2009|||Borgholzhausen||01234-656134|M.Bahnsen@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-827738||jonathan.franke@neg-velbert.de|N
Bruschius|Melanie|11.10.2009|||Langenfeld||01234-445281|M.Bruschius@smail.de|129|||||51|||||||08.07.2019|N|2|0189-416375||charlotte.marechal@neg-velbert.de|N
Conney|Andrea|09.01.2009|||Selm||01234-198184|A.Conney@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-105651||helena.barkus@neg-velbert.de|N
Creutzer|Anna|04.08.2009|||Münster||01234-467581|A.Creutzer@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-176516||lea.verfuerth@neg-velbert.de|N
Decker|Martin|10.04.2009|||Mönchengladbach||01234-195022|M.Decker@smail.de||||||51||||||01.08.2015|12.03.2019|N|2|0189-579709||norwin.wolf@neg-velbert.de|N
Eckbrett|Sara|19.08.2009|||Aachen||01234-650858|S.Eckbrett@smail.de||||||51|||||||11.07.2019|N|2|0189-114252||lara.metten@neg-velbert.de|N
Edden|Nadine|22.03.2009|||Bad Honnef||01234-856039|N.Edden@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-327833||carolina.baack@neg-velbert.de|N
Grünholz|Christian|04.12.2008|||Essen||01234-723770|C.Grünholz@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-734782||jona.solbach@neg-velbert.de|N
Hannemann|Kristian|03.05.2009|||Bergheim||01234-863200|K.Hannemann@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-873609||phil.caspers@neg-velbert.de|N
Hauth|Diana|01.07.2009|||Versmold||01234-642963|D.Hauth@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-264839||lentje.tillmann@neg-velbert.de|N
Henning|Dominik|28.03.2008|||Essen||01234-161896|D.Henning@smail.de||||||51|||||||22.02.2018|N|2|0189-764210||luis.fuellner@neg-velbert.de|N
Heße|Christin|26.01.2009|||Rheine||01234-321671|C.Heße@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-652396||jule.lammert@neg-velbert.de|N
Lüche|Christina|22.09.2009|||Recke||01234-555086|C.Lüche@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-281332||jolina.fischer@neg-velbert.de|N
Lütkens|Patrick|08.01.2009|||Hagen||01234-914945|P.Lütkens@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-708880||luis.theurich@neg-velbert.de|N
Mandelsloh|René|23.07.2009|||Essen||01234-824430|R.Mandelsloh@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-523841||salah.sakka@neg-velbert.de|N
Pohlmann|Jana|12.03.2009|||Burscheid||01234-735821|J.Pohlmann@smail.de||||||51||||||01.08.2015|12.03.2019|N|2|0189-571891||jill.pahl@neg-velbert.de|N
Roth|Mario|12.02.2009|||Mülheim||01234-670457|M.Roth@smail.de||||||51||||||01.08.2015|12.03.2019|N|2|0189-623982||collin.berghoff@neg-velbert.de|N
Samson-Himmelstjerna|Niklas|14.05.2009|||Essen||01234-195258|N.Samson-Himmelstjerna@smail.de||||||51|||||||16.01.2020|N|2|0189-715704||muhammed.demirci@neg-velbert.de|N
Tordsen|Sophie|08.12.2008|||Gelsenkirchen||01234-731075|S.Tordsen@smail.de||||||51||||||01.08.2015|08.03.2019|N|2|0189-921341||lena.hunschok@neg-velbert.de|N
Tschudy|Nadine|20.09.2009|||Köln||01234-605633|N.Tschudy@smail.de||||||51||||||01.08.2015|07.03.2019|N|2|0189-106836||lena.kuepper@neg-velbert.de|N
Usedom|Daniela|31.05.2009|||Ratingen||01234-374360|D.Usedom@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-734717||hanna.gieron@neg-velbert.de|N
Walpurgis|Maik|17.12.2008|||Stolberg||01234-570418|M.Walpurgis@smail.de||||||51||||||01.08.2015|11.03.2019|N|2|0189-987223||keanu.gupta@neg-velbert.de|N
Bareyre|Kathrin, Katrin|24.03.2008|||Köln||01234-978020|K.Bareyre@smail.de||||||51|||||||23.02.2018|N|2|0189-693687||layan.sakka@neg-velbert.de|N
