InternKrz|StatistikKrz|Anrede|Titel|Nachname|Vorname|Geschlecht|Geburtsdatum|Staatsang|PLZ|Ort|Straße|Tel. Festnetz|Tel. mobil|E-Mail|Rechtsverhältnis|Beschäftigungsart|Einsatzstatus|Pflichtstunden-Soll|Schulleitung|statistik-relevant|Stammschulnr.|dienstl. E-Mail
LEU1|LEU1|Frau||Leu|Sarah|w|16.01.1996|000|58642|Iserlohn|Kirchgasse 46|01234-169946|0197-599167|S.Leu@lmail.de||||||J||
LILI|LILI|Frau||Lilienthal|Sabrina|w|19.07.1973|000|41515|Grevenbroich|Gustloffstraße 316|01234-147421|0197-237442|S.Lilienthal@lmail.de||||||N|123456|
LOE|LOE|Frau||Loe|Antje|w|14.07.1995|000|53909|Zülpich|Stahnweg 351|01234-404866|0197-803088|A.Loe@lmail.de||||||N|123456|
LOOS|LOOS|Herr||Loosch|Philipp|m|24.05.1952|000|44867|Bochum|Straße im Walde 33|01234-369978|0197-193660|P.Loosch@lmail.de||||||N|123456|
LÜPK|LÜPK|Herr||Lüpkes|Mario|m|29.12.1978|000|40231|Düsseldorf|Fürstenbrunner Weg 9|01234-374584|0197-303035|M.Lüpkes@lmail.de||||||N|123456|
MAES|MAES|Frau||Maes|Marie|w|14.11.1970|000|40595|Düsseldorf|Pflanzgartenplatz 96|01234-402771|0197-487253|M.Maes@lmail.de||||||J|123456|
MALE|MALE|Frau||Maletz|Silke|w|17.05.1987|000|44797|Bochum|Chaussee nach Berlin 369|01234-880243|0197-258715|S.Maletz@lmail.de||||||J|123456|
MANS|MANS|Frau||Mansdorf|Juliane|w|30.01.1994|000|45549|Sprockhövel|Alsenzer Weg 422|01234-989537|0197-462498|J.Mansdorf@lmail.de||||||J||
MANT|MANT|Herr||Manteufel|Maik|m|03.08.1989|000|44801|Bochum|Ostendstraße 391|01234-671633|0197-125826|M.Manteufel@lmail.de||||||N||
MCCL|MCCL|Herr|Dr.|McClendon|Philipp|m|17.09.1960|000|58553|Halver|Deichstraße 70|01234-560255|0197-961079|P.McClendon@lmail.de||||||N|123456|
MEIE|MEIE|Frau||Meiers|Gabriele|w|08.12.1988|000|59909|Bestwig|Große Spreestraße 180|01234-421406|0197-939063|G.Meiers@lmail.de||||||N||
MEL1|MEL1|Frau||Melchers|Anke|w|14.12.1992|000|58456|Witten|Katharinenstraße 397|01234-253390|0197-362973|A.Melchers@lmail.de||||||N||
MICK|MICK|Frau||Micksch|Annett|w|07.04.1987|000|44287|Dortmund|Fichtengrund 246|01234-314525|0197-471647|A.Micksch@lmail.de||||||N|123456|
MINN|MINN|Herr||Minning|Peter|m|11.03.1951|000|33699|Bielefeld|Christstraße 224|01234-720169|0197-222334|P.Minning@lmail.de||||||N|123456|
MOMS|MOMS|Frau||Momsen|Lea|w|09.09.1967|000|45279|Essen|Adam-von-Trott-Straße 487|01234-447004|0197-255055|L.Momsen@lmail.de||||||J|123456|
MORT|MORT|Frau||Morthorst|Nadine|w|15.08.1977|000|33181|Wünnenberg|Straße zur Gaststätte Teufelssee 4|01234-812189|0197-297768|N.Morthorst@lmail.de||||||N|123456|
MÜL1|MÜL1|Herr||Müller|Christian|m|14.08.1983|000|45359|Essen|Anemonenstraße 190|01234-686046|0197-915087|C.Müller@lmail.de||||||J|123456|
NISS|NISS|Herr||Nissen|Andreas|m|15.01.1983|000|46446|Emmerich|Neuhelgoländer Weg 364|01234-104733|0197-265892|A.Nissen@lmail.de||||||J|123456|
NORT|NORT|Frau||Northoff|Petra|w|19.05.1988||40470|Düsseldorf|Rathenaustraße 386|01234-952026|0197-362196|P.Northoff@lmail.de||||||N|123456|
PAPK|PAPK|Frau||Papke|Sabine|w|07.02.1991|000|48336|Sassenberg|Alfred-Randt-Straße 423|01234-810060|0197-476303|S.Papke@lmail.de||||||N||
PEDE|PEDE|Frau||Pedersen|Marie|w|29.09.1984|000|44867|Bochum|Gierkeplatz 249|01234-828544|0197-163691|M.Pedersen@lmail.de||||||N|123456|
PETE|PETE|Frau||Petersen|Christine|w|26.07.1990|000|32052|Herford|Bruno-Wille-Straße 14|01234-460187|0197-282904|C.Petersen@lmail.de||||||N|123456|
PINT|PINT|Frau||Pintus|Karolin|w|27.02.1993|000|58849|Herscheid|George-Grosz-Platz 117|01234-479066|0197-694005|K.Pintus@lmail.de||||||N|123456|
PRIN|PRIN|Herr||Prinz|Niklas|m|02.10.1952|000|32427|Minden|Gierkezeile 151|01234-995760|0197-120482|N.Prinz@lmail.de||||||N|123456|
PUTT|PUTT|Herr||Puttkamer|Swen|m|22.03.1986|000|47839|Krefeld|Pohlestraße 389|01234-688814|0197-999670|S.Puttkamer@lmail.de||||||J|123456|
RABI|RABI|Herr||Rabien|Marko|m|13.10.1981|000|50259|Pulheim|Schönhorster Straße 466|01234-440150|0197-297058|M.Rabien@lmail.de||||||N|123456|
RECH|RECH|Herr||Rech|Dominik|m|01.03.1951|000|50668|Köln|Spreestraße 373|01234-283125|0197-584773|D.Rech@lmail.de||||||N|123456|
REDE|REDE|Frau||Redevalt|Anja|w|27.12.1965|000|51709|Marienheide|Rautendeleinweg 332|01234-903654|0197-882395|A.Redevalt@lmail.de||||||J|123456|
REIM|REIM|Herr||Reimann|Dennis|m|30.10.1994|000|40219|Düsseldorf|Erlenstraße 240|01234-849643|0197-113190|D.Reimann@lmail.de||||||J||
REUT|REUT|Frau||Reutter|Christine|w|28.02.1987|000|44789|Bochum|Sand-Gasse 384|01234-947737|0197-354956|C.Reutter@lmail.de||||||J|123456|
RIEP|RIEP|Herr||Rieper|Erik|m|09.06.1955|000|42115|Wuppertal|Stallschreiberstraße 88|01234-530786|0197-550091|E.Rieper@lmail.de||||||N|123456|
RISS|RISS|Frau||Risse|Melanie|w|18.12.1987|000|51519|Odenthal|Dresselstraße 482|01234-664386|0197-625780|M.Risse@lmail.de||||||N||
ROHT|ROHT|Frau||Rohtin|Karin|w|02.07.1974|000|45889|Gelsenkirchen|Saarlandstraße 89|01234-451602|0197-723803|K.Rohtin@lmail.de||||||N||
RÖTT|RÖTT|Frau||Röttmer|Christine|w|24.04.1993|000|59597|Erwitte|Luisenstraße 157|01234-693570|0197-157199|C.Röttmer@lmail.de||||||N|123456|
RUDO|RUDO|Herr||Rudolfsen|René|m|25.10.1979|000|51103|Köln|Scheunengasse 465|01234-741103|0197-588205|R.Rudolfsen@lmail.de||||||J|123456|
RUT1|RUT1|Herr||Rutishauser|Tom|m|08.04.1997|000|32429|Minden|Schloßplatz 408|01234-686435|0197-289521|T.Rutishauser@lmail.de||||||N||
RUTI|RUTI|Frau||Rutishauser|Sophie|w|22.03.1979|000|44807|Bochum|Falkendammer Straße 350|01234-594329|0197-179327|S.Rutishauser@lmail.de||||||J|123456|
SAME|SAME|Herr||Samet|Dirk|m|12.12.1971||44329|Dortmund|Behaimstraße 293|01234-536664|0197-174681|D.Samet@lmail.de||||||N||
SARC|SARC|Frau||Sarcander|Nicole|w|24.02.1988|000|46117|Oberhausen|Freienbrinker Saum 480|01234-382472|0197-446858|N.Sarcander@lmail.de||||||J|123456|
SAUE|SAUE|Frau||Sauer|Nicole|w|03.10.1988|000|33104|Paderborn|Kleine Gasse 486|01234-101589|0197-393513|N.Sauer@lmail.de||||||N|123456|
SCH1|SCH1|Herr||Schupp|Felix|m|02.02.1953|000|47807|Krefeld|Alter Fischerweg 268|01234-300580|0197-591211|F.Schupp@lmail.de||||||N|123456|
SCH2|SCH2|Frau||Schojan|Melanie|w|30.03.1950|000|45357|Essen|Kirchhofs-Straße 121|01234-371179|0197-430732|M.Schojan@lmail.de||||||N|123456|
SCH3|SCH3|Herr||Schliechten|Dominik|m|02.05.1988|000|53347|Alfter|Am Volkshaus 236|01234-809108|0197-653240|D.Schliechten@lmail.de||||||N|123456|
SCH4|SCH4|Frau||Schulte-Bockolt|Ute|w|10.10.1988|000|46242|Bottrop|Friedensplatz 24|01234-851141|0197-285312|U.Schulte-Bockolt@lmail.de||||||N|123456|
SCHA|SCHA|Frau||Schatz|Katharina|w|13.10.1982|000|46047|Oberhausen|Fontanestraße 222|01234-411888|0197-122247|K.Schatz@lmail.de||||||N|123456|
SCHI|SCHI|Herr||Schimmelpfennig|Kevin|m|13.07.1970|000|47441|Moers|Birkenallee 337|01234-316851|0197-462029|K.Schimmelpfennig@lmail.de||||||J|123456|
SCHÖ|SCHÖ|Frau||Schöttler|Katja|w|25.07.1991|000|45219|Essen|Birkenallee 197|01234-660609|0197-204814|K.Schöttler@lmail.de||||||N||
SPER|SPER|Herr||Sperry|Torsten|m|26.06.1986|137|48683|Ahaus|Alkenweg 4|01234-993405|0197-396456|T.Sperry@lmail.de||||||N||
SPIE|SPIE|Frau|Dr.|Spielmann|Petra|w|21.11.1966|000|58849|Herscheid|Flatowallee 342|01234-587350|0197-326158|P.Spielmann@lmail.de||||||J|123456|
SPLI|SPLI|Frau||Spliedt|Sabrina|w|03.09.1990|000|50170|Kerpen|Michaelisweg 52|01234-940330|0197-925750|S.Spliedt@lmail.de||||||J|123456|
STAR|STAR|Frau||Starck|Stephanie|w|15.08.1993|000|40479|Düsseldorf|Klandersgasse 107|01234-996079|0197-108544|S.Starck@lmail.de||||||J|123456|
STIP|STIP|Frau||Stippe|Jennifer|w|22.06.1988|000|41542|Dormagen|Reuterstraße 322|01234-571287|0197-246437|J.Stippe@lmail.de||||||N|123456|
SZEL|SZEL|Herr||Szelezinska|Frank|m|08.05.1978|000|45239|Essen|Bonhoefferufer 143|01234-552398|0197-482435|F.Szelezinska@lmail.de|||||Schulleit|N|123456|
TÄTE|TÄTE|Frau||Tätenborn|Anja|w|13.08.1968||52146|Würselen|Siebergasse 289|01234-348517|0197-658889|A.Tätenborn@lmail.de||||||N||
THUR|THUR|Herr||Thurein|Jonas|m|05.09.1946|000|51519|Odenthal|Geitelsteig 138|01234-898589|0197-900842|J.Thurein@lmail.de||||||N|123456|
TOMB|TOMB|Frau||Tombarge|Ute|w|05.10.1985|000|33332|Gütersloh|Mahlower Straße 293|01234-763261|0197-470534|U.Tombarge@lmail.de||||||N||
ÜDIN|ÜDIN|Herr||Üding|Andreas|m|08.06.1954|000|44229|Dortmund|Elstersteg 303|01234-980445|0197-447325|A.Üding@lmail.de||||||N|123456|
VORS|VORS|Frau||Vorstius|Heike|w|26.06.1969|000|51061|Köln|Scharrenstraße 369|01234-559269|0197-704900|H.Vorstius@lmail.de||||||J|123456|
WEB1|WEB1|Herr||Weber|Sven|m|17.04.1957|000|51674|Wiehl|Alte Allee 330|01234-812769|0197-624254|S.Weber@lmail.de||||||N||
WEBE|WEBE|Frau||Webers|Gabriele|w|17.09.1958|000|32545|Bad Oeynhausen|Alemannenallee 257|01234-131621|0197-412897|G.Webers@lmail.de||||||J|123456|
WEN1|WEN1|Frau||Wendt|Lena|w|11.01.1986|000|51580|Reichshof|Carmerstraße 2|01234-350266|0197-980503|L.Wendt@lmail.de||||||N|123456|
WERB|WERB|Herr|Dr.|Werber|Ralph|m|25.12.1970|000|45659|Recklinghausen|Katharinenstraße 52|01234-251401|0197-333062|R.Werber@lmail.de||||||N|123456|
WEX|WEX|Herr||Wex|Felix|m|03.05.1954|000|47055|Duisburg|Neue Friedrichstraße 83|01234-149952|0197-253796|F.Wex@lmail.de||||||N|123456|
WÜNS|WÜNS|Frau||Wünsche|Jessika|w|09.08.1987|000|46483|Wesel|Schulze-Delitzsch-Platz 445|01234-460940|0197-153727|J.Wünsche@lmail.de||||||N|123456|
ZAHN|ZAHN|Frau||Zahn|Tanja|w|28.03.1987|000|51674|Wiehl|Amtsgerichtsplatz 389|01234-911095|0197-596537|T.Zahn@lmail.de||||||N|123456|
ZUMF|ZUMF|Frau||Zumfelde|Simone|w|27.10.1970|000|32423|Minden|Rosenstraße 272|01234-758090|0197-846537|S.Zumfelde@lmail.de||||||J|123456|
