Nachname|Vorname|Geburtsdatum|Geschlecht|Status|PLZ|Ort|Straße|Aussiedler|1. Staatsang.|Konfession|StatistikKrz Konfession|Aufnahmedatum|Abmeldedatum Religionsunterricht|Anmeldedatum Religionsunterricht|Schulpflicht erf.|Reform-Pädagogik|Nr. Stammschule|Jahr|Abschnitt|Jahrgang|Klasse|Schulgliederung|OrgForm|Klassenart|Fachklasse|Noch frei|Verpflichtung Sprachförderkurs|Teilnahme Sprachförderkurs|Einschulungsjahr|Übergangsempf. JG5|Jahr Wechsel S1|1. Schulform S1|Jahr Wechsel S2|Förderschwerpunkt|2. Förderschwerpunkt|Schwerstbehinderung|Autist|LS Schulnr.|LS Schulform|Herkunft|LS Entlassdatum|LS Jahrgang|LS Versetzung|LS Reformpädagogik|LS Gliederung|LS Fachklasse|LS Abschluss|Abschluss|Schulnr. neue Schule|Zuzugsjahr|Geburtsland Schüler|Geburtsland Mutter|Geburtsland Vater|Verkehrssprache|Dauer Kindergartenbesuch|Ende Eingliederungsphase|Ende Anschlussförderung
Saam|Doreen|23.10.2010|w|2|33129|Delbrück|Koppenplatz 33|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|116490|G|G|30.07.2020|04|11||||||||||||||
Schliep|Dennis|16.12.2009|m|2|53937|Schleiden|Auguste-Viktoria-Platz 452|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|30.07.2020|04|11||||||||||||||
Schmischke|Marina|05.02.2010|w|2|42329|Wuppertal|Fürstenwalder Chaussee 239|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|131581|G|G|30.07.2020|04|11||||||||||||||
Schwarzrock|Marcel|09.04.2010|m|2|48351|Everswinkel|Gervinusstraße 487|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|31.07.2020||11||||||||000|000|000|de|||
Sehner|Michael|01.07.2010|m|2|50189|Elsdorf|Ostendstraße 118|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|111259|G|G|30.07.2020|04|11||||||||||||||
Stolzenberg|Jessika|10.02.2010|w|2|58644|Iserlohn|Möllhausenufer 457|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|192557|G|G|31.07.2020||11||||||||000|||de|||
Thiede|Felix|31.05.2010|m|2|47906|Kempen|Siebergasse 159|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|31.07.2020|04|11|||||||||152|000|de|||
Thomsen|Sara|29.07.2010|w|2|46236|Bottrop|Spreestraße 93|N|000|orthodoxe|XO|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|131581|G|G|31.07.2020||11||||||||000|170|000|de|||
Vogel|Marina|07.02.2010|w|2|53844|Troisdorf|Friedrichstraße 186|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|31.07.2020||11||||||||231|262|262|fr|||
Volkmann|Silke|14.11.2009|w|2|52396|Heimbach|Klostergasse 296|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|30.07.2020|04|11|||||||||444|160|ru|||
Witzki|Dennis|27.12.2010|m|2|45478|Mülheim|Finkenschlag 464|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|192557|G|G|30.07.2020|04|11|||||||||152|152|de|||
Baumbach|Jan|29.05.2009|m|2|59558|Lippstadt|Rotkäppchenstraße 31|N|163|islamisch|IR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|30.07.2020|04|11|||||||2018|163|163|163|tr|||
Beyer|Swen|30.06.2010|m|2|33175|Bad Lippspringe|Schreberplatz 381|N|000|alevitisch|AR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|31.07.2020|04|11|||||||||000|163|tr|||
Bican|Felix|14.03.2010|m|2|41516|Grevenbroich|Kapelle-Ufer 260|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|30.07.2020|04|11|||||||||163|163|de|||
Böhmer|Lukas|21.05.2010|m|2|41541|Dormagen|Bismarckstraße 114|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|131581|G|G|30.07.2020|04|11|||||||||000|000|tr|||
Drewes|Andreas|06.01.2010|m|2|58455|Witten|Dresselstraße 166|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|R|2020|GY||||N|N|131581|G|G|31.07.2020||11||||||||000|163|000|de|||
Felbert|Brigitte|18.04.2010|w|2|48163|Münster|Brontëweg 2|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|111259|G|G|30.07.2020|04|11|||||||||252|252|ar|||
Hesse|Jessika|19.05.2010|w|2|44623|Herne|Elcknerplatz 489|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|129100|G|G|30.07.2020|04|11||||||||||||||
Hill|Jens|04.06.2010|m|2|52062|Aachen|Rialtoring 195|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|131581|G|G|30.07.2020|04|11|||||||||000|000|tr|||
Hövel|Lukas|29.12.2009|m|2|58840|Plettenberg|Eichenallee 364|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|07.02.2020|04|11|||||||||150|150|sq|||
Hummen|Annett|05.02.2010|w|2|45219|Essen|Am Glockenturm 42|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|30.07.2020|04|11||||||||||||||
Iversen|Marina|25.05.2008|w|2|50765|Köln|Rinntaler Steig 266|N|134|orthodoxe|XO|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016||2020|||||N|N|||AS|||99|||||||2020|134|134|134|el||12.08.2022|
Kammerer|Tobias|13.04.2010|m|2|47798|Krefeld|Flemmingstraße 208|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|118229|G|G|30.07.2020|04|11||||||||||||||
König|Laura|04.07.2010|w|2|46359|Heiden|Goerdelerdamm 467|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|31.07.2020||11||||||||||||||
Kraul|Doreen|23.06.2010|w|2|44892|Bochum|Kronengasse 209|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|129100|G|G|31.07.2020||11||||||||||||||
Labrot|Anna|01.06.2010|w|2|48143|Münster|Biberpelzstraße 161|N|000|evangelisch freikirchlich|ER|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|31.07.2020||11||||||||000|444|232|de|||
Lange|Ralph|23.02.2010|m|2|53340|Meckenheim|Tongrubenweg 480|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|124163|G|G|31.07.2020||11||||||||||||||
Lankenau|Anke|29.12.2009|w|2|41515|Grevenbroich|Rathenaustraße 233|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|124163|G|G|30.07.2020|04|11||||||||||||||
Matthias|Tobias|29.10.2010|m|2|46459|Rees|Am Salzufer beim Speicher 452|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|124163|G|G|30.07.2020|04|11||||||||||||||
Möller|Vanessa|15.05.2010|w|2|33739|Bielefeld|Alemannenallee 334|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|31.07.2020||11||||||||000|439|439|de|||
Ohlschläger|Jessica|04.11.2010|w|2|36251|Ludwigsau|Schmidstraße 304|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|31.07.2020||11||||||||||||||
Ravioz|Gabriele|19.10.2010|w|2|47624|Kevelaer|Lehmgasse 78|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|129100|G|G|31.07.2020||11||||||||||||||
Ristow|Anne|05.02.2010|w|2|46509|Xanten|Odernheimer Straße 85|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|129100|G|G|31.07.2020||11||||||||000|000|432|de|||
Schrage|Lea|03.05.2010|w|2|51465|Bergisch Gladbach|Triglawstraße 213|N|000|evangelisch freikirchlich|ER|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|30.07.2020|04|11||||||||||||||
Sievertsen|Jessica|01.01.2010|w|2|41849|Wassenberg|Franklinstraße 458|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|30.07.2020|04|11|||||||||122|000|bs|||
Vorstius|Janina|26.08.2010|w|2|45481|Mülheim|Englische Straße 66|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|111259|G|G|20.02.2020|04|11|||||||||000|137|de|||
Wallin|Stefan|15.05.2010|m|2|51143|Köln|Oberspreestraße 111|N|000|orthodoxe|XO|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|124163|G|G|30.07.2020|04|11|||||||||000|000|el|||
Wenski|Martin|05.06.2010|m|2|58452|Witten|Sebastiankirch-Gasse 217|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06B|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|31.07.2020||11||||||||||||||
Andreae|Christian|21.08.2010|m|2|53639|Königswinter|Albert-Beyer-Straße 287|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|30.07.2020||11||||||||||||||
Benfer|Juliane|07.06.2011|w|2|48361|Beelen|Spindlersfelder Straße 158|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R|2020|GY||||N|N|130990|G|G|30.07.2020|04|11||||||||||||||
Breid|Benjamin|10.03.2010|m|2|59077|Hamm|Linienstraße 392|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|31.01.2020||11||||||||||||||
Brüning|Christin|01.03.2010|w|2|48612|Horstmar|Luisenufer 139|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|131581|G|G|30.07.2020|04|11||||||||||||||
Dieders|Philipp|22.07.2010|m|2|42579|Heiligenhaus|Allee nach Berlin 94|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|124163|G|G|30.07.2020|04|11||||||||||||||
Esselborn|Christine|04.08.2010|w|2|52499|Baesweiler|Mathildenstraße 136|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|130990|G|G|30.07.2020|04|11||||||||||||||
Felbert|Matthias|05.03.2010|m|2|53123|Bonn|Braunschweigallee 326|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|110346|G|G|31.07.2020||11||||||||||||||
Fröhlich|Ines|29.09.2010|w|2|58452|Witten|Kronenstraße 135|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|Gy||||N|N|131581|G|G|30.07.2020|04|11|||||||||000|163|tr|||
Grebe|Nadine|11.09.2010|w|2|47624|Kevelaer|Karl-Liebknecht-Straße 161|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R|2020|GY||||N|N|124163|G|G|31.07.2020||11||||||||000|252|252|ar|||
Grewe|Sarah|06.05.2010|w|2|59174|Kamen|Schloßparkstraße 273|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|30.07.2020|04|11|||||||||000|285|de|||
Gülpen|Ralph|29.03.2010|m|2|48145|Münster|Falterweg 317|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R|2020|GY||||N|N|131581|G|G|31.07.2020||11||||||||000|134|134|tr|||
Harmens|Christin|19.04.2010|w|2|40477|Düsseldorf|Turmallee	 220|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|124163|G|G|30.07.2020||11||||||||475|475|475|ar|||
Hase|Anne|22.07.2010|w|2|51143|Köln|Schwarzer Weg 26|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|100870|G|G|31.07.2020||11||||||||||||||
Hensel|Kevin|12.02.2010|m|2|32689|Kalletal|Alter Tegeler Weg 306|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|100870|G|G|30.07.2020|04|11||||||||||||||
Heßke|Max|14.02.2010|m|2|40789|Monheim|Müggellandstraße 183|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|31.07.2020||11||||||||000|152|152|de|||
Hubbell|Ursula|24.10.2010|w|2|45133|Essen|Müggelheimer Landstraße 111|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|30.07.2020|04|11||||||||||||||
Kanich|Kristin|17.09.2010|w|2|58636|Iserlohn|Eosanderstraße 454|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|100870|G|G|30.07.2020|04|11|||||||||000|000|tr|||
Kräger|Leon|02.08.2010|m|2|57319|Bad Berleburg|Neanderstraße 108|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|31.07.2020||11||||||||||||||
Michelsen|Jan|22.11.2010|m|2|53949|Dahlem|Neue Friedrichstraße 211|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2016|Gy||||N|N|109101|G|G|30.07.2020|04|11|||||||||122|122|hr|||
Öllrich|Katja|24.11.2010|w|2|52538|Gangelt|Schustergasse 411|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|130990|G|G|31.07.2020||11||||||||||||||
Richardi|Robert|31.01.2011|m|2|40472|Düsseldorf|Bischofstaler Straße 109|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|100870|G|G|30.07.2020|04|11|||||||||163|163|ku|||
Schulten|Maria|03.05.2010|w|2|58515|Lüdenscheid|Albert-Beyer-Straße 467|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|130990|G|G|31.07.2020||11||||||||||||||
Schulten|Stephan|10.09.2010|m|2|51061|Köln|Schneewittchenstraße 498|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|100870|G|G|31.07.2020||11||||||||||||||
Schulze|Sara|04.05.2010|w|2|52068|Aachen|Burgunder Allee 385|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|30.07.2020|04|11|||||||||152|000|de|||
Sobottka|Claudia|26.05.2010|w|2|44147|Dortmund|Steinhöfeler Weg 113|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R|2020|GY||||N|N|100870|G|G|31.07.2020||11||||||||000|000|122|hr|||
Stolzenburg|Tom|18.10.2010|m|2|32130|Enger|Pestalozzistraße 453|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|131581|G|G|30.07.2020|04|11|||||||||163|163|de|||
Zuber|Daniela|15.06.2010|w|2|48739|Legden|Kirchhofs-Gasse 76|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06C|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|124163|G|G|31.07.2020|04|11||||||||||||||
Adams|Lisa|03.03.2009|w|2|44536|Lünen|Letzte Straße 478|N|000|islamisch|IR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|124163|G|G|31.07.2019|04|11|||||||||150|150|sq|||
Ahlenstiel|Daniela|11.03.2009|w|2|50933|Köln|Berlewitzweg 285|N|000|Zeugen Jehovas|XR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|151130|G|G|31.07.2019|04|11||||||||||||||
Albert|Marie|23.01.2009|w|2|59399|Olfen|Straße von Rosenthal 285|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|129100|G|G|31.07.2019|04|11||||||||||||||
Behrendt|Martina|27.10.2009|w|2|50935|Köln|Fontanestraße 408|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|151130|G|G|31.07.2019|04|11||||||||||||||
Bernet|Kathrin, Katrin|17.06.2009|w|2|52428|Jülich|Splittgerbergasse 173|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|151130|G|G|31.07.2019|04|11||||||||||||||
Brockmann|Kristian|03.05.2009|m|2|44799|Bochum|Neue Ackerstraße 489|N|000|alevitisch|AR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|R/Gy|2019|GY||||N|N|124163|G|G|31.07.2019|04|11|||||||||163|163|tr|||
Cols|Stefanie|07.04.2010|w|2|48624|Schöppingen|Franklinstraße 57|N|000|islamisch|IR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2016|Gy|2019|GY||||N|N|124163|G|G|31.07.2019|04|11||||||||||163||||
Domdrowski|Maria|29.05.2008|w|2|45772|Marl|Mittelheide 333|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11|||||||||154|||||
Else|Christin|09.06.2008|w|2|47807|Krefeld|Neue Kommandantenstraße 483|N|137|katholisch|KR|07.11.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2014|||||||N|N|||AS|||99|||||||2019|137|137|137|it||06.11.2021|
Fenny|Ralf|08.12.2008|m|2|41464|Neuss|Saarlandstraße 399|N|134|ohne Bekenntnis|OH|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|124163|G|G|31.07.2019|04|11||||||||134|121|121|el|||
Foster|Diana|02.04.2009|w|2|52393|Hürtgenwald|Karlplatz 158|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|129100|G|G|31.07.2019|04|11|||||||||152|152|de|||
Gigel|Sophie|07.05.2008|w|2|49509|Recke|Forststraße 480|N|160|orthodoxe|XO|11.08.2020|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|||||||N|N|||AS||05|99|||||||2020|160|160||ru||10.08.2023|
Havel|Marco|20.06.2009|m|2|50937|Köln|Schloßplatz 344|N|000|evangelisch freikirchlich|ER|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|129100|G|G|31.07.2019|04|11|||||||||444|166||||
Hepner|Barbara|16.06.2009|w|2|42929|Wermelskirchen|Laufgasse 77|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|151130|G|G|31.07.2019|04|11||||||||||||||
Kroß|Christin|28.09.2009|w|2|47167|Duisburg|Münchweilersteig 461|N|000|ohne Bekenntnis|OH|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|129100|G|G|31.07.2019|04|11||||||||||||||
Liskow|Nadine|27.05.2009|w|2|50170|Kerpen|Enkenbacher Weg 216|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|192557|G|G|31.07.2019|04|11||||||||||||||
